L,h,C_max
0,0,0
0,3,0
0,6,0
0,9,0
0,12,0
0,15,0
0,18,0
0,21,0
0,24,0
0,27,0
0,30,0
0,33,0
0,36,0
0,39,0
0,42,0
0,45,0
0,48,0
0,51,0
0,54,0
0,57,0
0,60,0
0,63,0
0,66,0
0,69,0
0,72,0
0,75,0
0,78,0
0,81,0
0,84,0
0,87,0
0,90,0
0,93,0
0,96,0
0,99,0
0,102,0
0,105,0
0,108,0
0,111,0
0,114,0
0,117,0
0,120,0
0,123,0
0,126,0
0,129,0
0,132,0
0,135,0
0,138,0
0,141,0
0,144,0
0,147,0
0,150,0
0,153,0
0,156,0
0,159,0
0,162,0
0,165,0
0,168,0
0,171,0
0,174,0
0,177,0
0,180,0
0,183,0
0,186,0
0,189,0
0,192,0
0,195,0
0,198,0
0,201,0
0,204,0
0,207,0
0,210,0
0,213,0
0,216,0
0,219,0
0,222,0
0,225,0
0,228,0
0,231,0
0,234,0
0,237,0
0,240,0
0,243,0
0,246,0
0,249,0
0,252,0
0,255,0
0,258,0
0,261,0
0,264,0
0,267,0
0,270,0
0,273,0
0,276,0
0,279,0
0,282,0
0,285,0
0,288,0
0,291,0
0,294,0
0,297,0
0,300,0
0,303,0
0,306,0
0,309,0
0,312,0
0,315,0
0,318,0
0,321,0
0,324,0
0,327,0
0,330,0
0,333,0
0,336,0
0,339,0
0,342,0
0,345,0
0,348,0
0,351,0
0,354,0
0,357,0
0,360,0
1,0,6.71997070312
1,3,6.6650390625
1,6,6.64672851562
1,9,6.62841796875
1,12,6.64672851562
1,15,6.64672851562
1,18,5.56640625
1,21,4.79736328125
1,24,4.22973632812
1,27,3.77197265625
1,30,3.42407226562
1,33,3.1494140625
1,36,2.91137695312
1,39,2.72827148438
1,42,2.5634765625
1,45,2.4169921875
1,48,2.30712890625
1,51,2.197265625
1,54,2.10571289062
1,57,2.03247070312
1,60,1.9775390625
1,63,1.92260742188
1,66,1.86767578125
1,69,1.8310546875
1,72,1.79443359375
1,75,1.77612304688
1,78,1.73950195312
1,81,1.72119140625
1,84,1.72119140625
1,87,1.70288085938
1,90,1.70288085938
1,93,1.70288085938
1,96,1.72119140625
1,99,1.72119140625
1,102,1.73950195312
1,105,1.7578125
1,108,1.79443359375
1,111,1.8310546875
1,114,1.86767578125
1,117,1.92260742188
1,120,1.9775390625
1,123,2.03247070312
1,126,2.10571289062
1,129,2.197265625
1,132,2.28881835938
1,135,2.39868164062
1,138,2.54516601562
1,141,2.69165039062
1,144,2.87475585938
1,147,3.076171875
1,150,3.31420898438
1,153,3.53393554688
1,156,3.75366210938
1,159,3.955078125
1,162,4.08325195312
1,165,4.15649414062
1,168,4.19311523438
1,171,4.21142578125
1,174,4.21142578125
1,177,4.22973632812
1,180,4.248046875
1,183,4.26635742188
1,186,4.28466796875
1,189,4.3212890625
1,192,4.37622070312
1,195,4.43115234375
1,198,4.48608398438
1,201,4.55932617188
1,204,4.65087890625
1,207,4.7607421875
1,210,4.88891601562
1,213,5.03540039062
1,216,5.18188476562
1,219,5.38330078125
1,222,5.58471679688
1,225,5.84106445312
1,228,6.11572265625
1,231,6.4453125
1,234,6.82983398438
1,237,7.28759765625
1,240,7.81860351562
1,243,8.45947265625
1,246,9.228515625
1,249,10.1806640625
1,252,11.3525390625
1,255,12.8540039062
1,258,14.794921875
1,261,17.28515625
1,264,20.4711914062
1,267,24.5178222656
1,270,29.443359375
1,273,35.1379394531
1,276,41.3818359375
1,279,47.9736328125
1,282,54.8583984375
1,285,60.2783203125
1,288,56.4147949219
1,291,39.2578125
1,294,26.8249511719
1,297,21.5515136719
1,300,18.3471679688
1,303,16.11328125
1,306,14.4653320312
1,309,13.1652832031
1,312,12.1032714844
1,315,11.2243652344
1,318,10.4919433594
1,321,9.86938476562
1,324,9.35668945312
1,327,8.89892578125
1,330,8.51440429688
1,333,8.18481445312
1,336,7.89184570312
1,339,7.65380859375
1,342,7.43408203125
1,345,7.2509765625
1,348,7.1044921875
1,351,6.97631835938
1,354,6.86645507812
1,357,6.77490234375
1,360,6.71997070312
2,0,13.4399414062
2,3,13.3483886719
2,6,13.2934570312
2,9,13.2751464844
2,12,13.2934570312
2,15,13.3117675781
2,18,11.1511230469
2,21,9.5947265625
2,24,8.45947265625
2,27,7.56225585938
2,30,6.86645507812
2,33,6.298828125
2,36,5.84106445312
2,39,5.45654296875
2,42,5.126953125
2,45,4.85229492188
2,48,4.6142578125
2,51,4.41284179688
2,54,4.22973632812
2,57,4.08325195312
2,60,3.955078125
2,63,3.84521484375
2,66,3.75366210938
2,69,3.662109375
2,72,3.60717773438
2,75,3.55224609375
2,78,3.49731445312
2,81,3.46069335938
2,84,3.4423828125
2,87,3.42407226562
2,90,3.42407226562
2,93,3.42407226562
2,96,3.4423828125
2,99,3.46069335938
2,102,3.49731445312
2,105,3.53393554688
2,108,3.5888671875
2,111,3.662109375
2,114,3.7353515625
2,117,3.84521484375
2,120,3.955078125
2,123,4.08325195312
2,126,4.22973632812
2,129,4.39453125
2,132,4.59594726562
2,135,4.81567382812
2,138,5.09033203125
2,141,5.40161132812
2,144,5.74951171875
2,147,6.17065429688
2,150,6.62841796875
2,153,7.08618164062
2,156,7.52563476562
2,159,7.91015625
2,162,8.18481445312
2,165,8.31298828125
2,168,8.38623046875
2,171,8.4228515625
2,174,8.44116210938
2,177,8.45947265625
2,180,8.49609375
2,183,8.53271484375
2,186,8.58764648438
