L,h,C_max
0,0,0
0,3,0
0,6,0
0,9,0
0,12,0
0,15,0
0,18,0
0,21,0
0,24,0
0,27,0
0,30,0
0,33,0
0,36,0
0,39,0
0,42,0
0,45,0
0,48,0
0,51,0
0,54,0
0,57,0
0,60,0
0,63,0
0,66,0
0,69,0
0,72,0
0,75,0
0,78,0
0,81,0
0,84,0
0,87,0
0,90,0
0,93,0
0,96,0
0,99,0
0,102,0
0,105,0
0,108,0
0,111,0
0,114,0
0,117,0
0,120,0
0,123,0
0,126,0
0,129,0
0,132,0
0,135,0
0,138,0
0,141,0
0,144,0
0,147,0
0,150,0
0,153,0
0,156,0
0,159,0
0,162,0
0,165,0
0,168,0
0,171,0
0,174,0
0,177,0
0,180,0
0,183,0
0,186,0
0,189,0
0,192,0
0,195,0
0,198,0
0,201,0
0,204,0
0,207,0
0,210,0
0,213,0
0,216,0
0,219,0
0,222,0
0,225,0
0,228,0
0,231,0
0,234,0
0,237,0
0,240,0
0,243,0
0,246,0
0,249,0
0,252,0
0,255,0
0,258,0
0,261,0
0,264,0
0,267,0
0,270,0
0,273,0
0,276,0
0,279,0
0,282,0
0,285,0
0,288,0
0,291,0
0,294,0
0,297,0
0,300,0
0,303,0
0,306,0
0,309,0
0,312,0
0,315,0
0,318,0
0,321,0
0,324,0
0,327,0
0,330,0
0,333,0
0,336,0
0,339,0
0,342,0
0,345,0
0,348,0
0,351,0
0,354,0
0,357,0
0,360,0
1,0,8.642578125
1,3,8.40454101562
1,6,8.18481445312
1,9,8.00170898438
1,12,7.85522460938
1,15,6.64672851562
1,18,5.56640625
1,21,4.79736328125
1,24,4.22973632812
1,27,3.79028320312
1,30,3.4423828125
1,33,3.1494140625
1,36,2.9296875
1,39,2.72827148438
1,42,2.5634765625
1,45,2.43530273438
1,48,2.30712890625
1,51,2.21557617188
1,54,2.1240234375
1,57,2.05078125
1,60,1.9775390625
1,63,1.92260742188
1,66,1.86767578125
1,69,1.8310546875
1,72,1.79443359375
1,75,1.77612304688
1,78,1.7578125
1,81,1.73950195312
1,84,1.72119140625
1,87,1.72119140625
1,90,1.72119140625
1,93,1.72119140625
1,96,1.72119140625
1,99,1.73950195312
1,102,1.7578125
1,105,1.77612304688
1,108,1.79443359375
1,111,1.8310546875
1,114,1.86767578125
1,117,1.92260742188
1,120,1.9775390625
1,123,2.05078125
1,126,2.1240234375
1,129,2.197265625
1,132,2.30712890625
1,135,2.4169921875
1,138,2.5634765625
1,141,2.7099609375
1,144,2.91137695312
1,147,3.13110351562
1,150,3.38745117188
1,153,3.68041992188
1,156,3.99169921875
1,159,4.26635742188
1,162,4.37622070312
1,165,4.39453125
1,168,4.35791015625
1,171,4.30297851562
1,174,4.248046875
1,177,4.1748046875
1,180,4.11987304688
1,183,4.06494140625
1,186,4.0283203125
1,189,3.99169921875
1,192,3.955078125
1,195,3.93676757812
1,198,3.93676757812
1,201,3.91845703125
1,204,3.93676757812
1,207,3.955078125
1,210,3.97338867188
1,213,4.01000976562
1,216,4.06494140625
1,219,4.11987304688
1,222,4.19311523438
1,225,4.28466796875
1,228,4.37622070312
1,231,4.48608398438
1,234,4.6142578125
1,237,4.7607421875
1,240,4.94384765625
1,243,5.14526367188
1,246,5.36499023438
1,249,5.62133789062
1,252,5.9326171875
1,255,6.28051757812
1,258,6.70166015625
1,261,7.177734375
1,264,7.763671875
1,267,8.47778320312
1,270,9.33837890625
1,273,10.400390625
1,276,11.7553710938
1,279,13.4765625
1,282,15.5090332031
1,285,17.8527832031
1,288,20.5444335938
1,291,23.583984375
1,294,26.9897460938
1,297,30.76171875
1,300,34.9548339844
1,303,39.6789550781
1,306,45.0622558594
1,309,51.3061523438
1,312,59.619140625
1,315,36.8408203125
1,318,24.6459960938
1,321,20.7824707031
1,324,18.3471679688
1,327,16.4794921875
1,330,14.9780273438
1,333,13.76953125
1,336,12.7624511719
1,339,11.9201660156
1,342,11.2060546875
1,345,10.6018066406
1,348,10.0891113281
1,351,9.64965820312
1,354,9.26513671875
1,357,8.935546875
1,360,8.642578125
2,0,17.3034667969
2,3,16.8090820312
2,6,16.3879394531
2,9,16.0217285156
2,12,15.7287597656
2,15,13.3117675781
2,18,11.1511230469
2,21,9.61303710938
2,24,8.45947265625
2,27,7.58056640625
2,30,6.884765625
2,33,6.31713867188
2,36,5.859375
2,39,5.45654296875
2,42,5.14526367188
2,45,4.87060546875
2,48,4.63256835938
2,51,4.43115234375
2,54,4.248046875
2,57,4.1015625
2,60,3.97338867188
2,63,3.86352539062
2,66,3.75366210938
2,69,3.68041992188
2,72,3.60717773438
2,75,3.55224609375
2,78,3.515625
2,81,3.47900390625
2,84,3.46069335938
2,87,3.4423828125
2,90,3.4423828125
2,93,3.4423828125
2,96,3.46069335938
2,99,3.47900390625
2,102,3.515625
2,105,3.55224609375
2,108,3.60717773438
2,111,3.68041992188
2,114,3.75366210938
2,117,3.84521484375
2,120,3.97338867188
2,123,4.1015625
2,126,4.248046875
2,129,4.41284179688
2,132,4.6142578125
2,135,4.85229492188
2,138,5.126953125
2,141,5.43823242188
2,144,5.82275390625
2,147,6.26220703125
2,150,6.77490234375
2,153,7.36083984375
2,156,7.9833984375
2,159,8.53271484375
2,162,8.77075195312
2,165,8.80737304688
2,168,8.73413085938
2,171,8.62426757812
2,174,8.49609375
2,177,8.36791992188
2,180,8.25805664062
2,183,8.14819335938
2,186,8.056640625
2,189,7.9833984375
2,192,7.92846679688
