wavelength,cardboardsci_0001,cardboardsci_0002,cardboardsci_0003,cardboardsci_0004,cardboardsci_0005,cardboardsci_0006,cardboardsci_0007,cardboardsci_0008,cardboardsci_0009,cardboardsci_0010,cardboardsci_0011,cardboardsci_0012,cardboardsci_0013,cardboardsci_0014,cardboardsci_0015,cardboardsci_0016,cardboardsci_0017,cardboardsci_0018,cardboardsci_0019,cardboardsci_0020,cardboardsci_0021,cardboardsci_0022,cardboardsci_0023,cardboardsci_0024,cardboardsci_0025,cardboardsci_0026,cardboardsci_0027,cardboardsci_0028,cardboardsci_0029,cardboardsci_0030,cardboardsci_0031,cardboardsci_0032,cardboardsci_0033,cardboardsci_0034,cardboardsci_0035,cardboardsci_0036,cardboardsci_0037,cardboardsci_0038,cardboardsci_0039,cardboardsci_0040,cardboardsci_0041,cardboardsci_0042,cardboardsci_0043,cardboardsci_0044,cardboardsci_0045,cardboardsci_0046,cardboardsci_0047,cardboardsci_0048,cardboardsci_0049,cardboardsci_0050,cardboardsci_0051,cardboardsci_0052,cardboardsci_0053,cardboardsci_0054,cardboardsci_0055,cardboardsci_0056,cardboardsci_0057,cardboardsci_0058,cardboardsci_0059,cardboardsci_0060,cardboardsci_0061,cardboardsci_0062,cardboardsci_0063,cardboardsci_0064,cardboardsci_0065,cardboardsci_0066,cardboardsci_0067,cardboardsci_0068,cardboardsci_0069,cardboardsci_0070,cardboardsci_0071,cardboardsci_0072,cardboardsci_0073,cardboardsci_0074,cardboardsci_0075,cardboardsci_0076,cardboardsci_0077,cardboardsci_0078,cardboardsci_0079,cardboardsci_0080,cardboardsci_0081,cardboardsci_0082,cardboardsci_0083,cardboardsci_0084,cardboardsci_0085,cardboardsci_0086,cardboardsci_0087,cardboardsci_0088,cardboardsci_0089,cardboardsci_0090,cardboardsci_0091,cardboardsci_0092,cardboardsci_0093,cardboardsci_0094,cardboardsci_0095,cardboardsci_0096,cardboardsci_0097,cardboardsci_0098,cardboardsci_0099,cardboardsci_0100,cardboardsci_0101,cardboardsci_0102,cardboardsci_0103,cardboardsci_0104,cardboardsci_0105,cardboardsci_0106,cardboardsci_0107,cardboardsci_0108,cardboardsci_0109,cardboardsci_0110,cardboardsci_0111,cardboardsci_0112,cardboardsci_0113,cardboardsci_0114,cardboardsci_0115,cardboardsci_0116,cardboardsci_0117,cardboardsci_0118,cardboardsci_0119,cardboardsci_0120,cardboardsci_0121,cardboardsci_0122,cardboardsci_0123,cardboardsci_0124,cardboardsci_0125,cardboardsci_0126,cardboardsci_0127,cardboardsci_0128,cardboardsci_0129,cardboardsci_0130,cardboardsci_0131,cardboardsci_0132,cardboardsci_0133,cardboardsci_0134,cardboardsci_0135,cardboardsci_0136,cardboardsci_0137,cardboardsci_0138,cardboardsci_0139,cardboardsci_0140,cardboardsci_0141,cardboardsci_0142,cardboardsci_0143,cardboardsci_0144,cardboardsci_0145,cardboardsci_0146,cardboardsci_0147,cardboardsci_0148,cardboardsci_0149,cardboardsci_0150,cardboardsci_0151,cardboardsci_0152,cardboardsci_0153,cardboardsci_0154,cardboardsci_0155,cardboardsci_0156,cardboardsci_0157,cardboardsci_0158,cardboardsci_0159,cardboardsci_0160,cardboardsci_0161,cardboardsci_0162,cardboardsci_0163,cardboardsci_0164,cardboardsci_0165,cardboardsci_0166,cardboardsci_0167,cardboardsci_0168,cardboardsci_0169,cardboardsci_0170,cardboardsci_0171,cardboardsci_0172,cardboardsci_0173,cardboardsci_0174,cardboardsci_0175,cardboardsci_0176,cardboardsci_0177,cardboardsci_0178,cardboardsci_0179,cardboardsci_0180,cardboardsci_0181,cardboardsci_0182,cardboardsci_0183,cardboardsci_0184,cardboardsci_0185,cardboardsci_0186,cardboardsci_0187,cardboardsci_0188,cardboardsci_0189,cardboardsci_0190,cardboardsci_0191,cardboardsci_0192,cardboardsci_0193,cardboardsci_0194,cardboardsci_0195,cardboardsci_0196,cardboardsci_0197,cardboardsci_0198,cardboardsci_0199,cardboardsci_0200,cardboardsci_0201,cardboardsci_0202,cardboardsci_0203,cardboardsci_0204,cardboardsci_0205,cardboardsci_0206,cardboardsci_0207,cardboardsci_0208,cardboardsci_0209,cardboardsci_0210
400,0.0731,0.0712,0.0622,0.0632,0.062,0.0618,0.0751,0.0756,0.0751,0.5762,0.5718,0.5747,0.619,0.6123,0.6142,0.2168,0.2112,0.2117,0.2568,0.2554,0.2552,0.3174,0.3139,0.3148,0.2652,0.262,0.2641,0.6128,0.6072,0.6145,0.1945,0.1924,0.1917,0.4338,0.43,0.4323,0.3716,0.3683,0.3696,0.4241,0.4214,0.4206,0.6278,0.6232,0.6237,0.6034,0.5964,0.5998,0.6185,0.6131,0.6135,0.5743,0.5661,0.5719,0.5913,0.5837,0.5882,0.6334,0.6267,0.628,0.4259,0.4211,0.421,0.6409,0.6347,0.6367,0.5732,0.5678,0.5691,0.0869,0.0855,0.0859,0.1173,0.1172,0.1167,0.1081,0.1069,0.1038,0.083,0.0822,0.0831,0.2454,0.2442,0.2429,0.0627,0.0624,0.0622,0.0606,0.0598,0.0595,0.1136,0.1149,0.1148,0.3254,0.3225,0.3246,0.3759,0.3704,0.3744,0.132,0.131,0.132,0.4224,0.4191,0.4181,0.3315,0.3293,0.3304,0.5575,0.5504,0.5542,0.4732,0.4677,0.4712,0.1006,0.0984,0.0987,0.0927,0.09,0.0918,0.0624,0.0622,0.0627,0.1407,0.1391,0.1384,0.0988,0.0984,0.0982,0.1064,0.1051,0.1064,0.2532,0.2508,0.2536,0.2389,0.234,0.2367,0.5912,0.5763,0.59,0.4911,0.4858,0.4903,0.3866,0.3815,0.3863,0.3452,0.3431,0.3396,0.5093,0.503,0.5057,0.689,0.6851,0.6681,0.4907,0.4869,0.4881,0.2541,0.2466,0.2484,0.5211,0.5158,0.5157,0.6783,0.6727,0.674,0.5031,0.4948,0.5004,0.4488,0.4419,0.4501,0.24,0.2365,0.2414,0.6337,0.6262,0.63,0.2884,0.2888,0.2905,0.0673,0.0677,0.0672,0.0863,0.0865,0.0863,0.2948,0.2931,0.2907,0.1911,0.1892,0.1886,0.0853,0.0843,0.0854,0.3422,0.3416,0.3425,0.1224,0.1203,0.1222,0.1,0.0984,0.098,0.1185,0.118,0.1179
410,0.0735,0.0718,0.0624,0.0616,0.0604,0.0605,0.073,0.0732,0.0731,0.6063,0.6018,0.6055,0.6668,0.6597,0.662,0.2498,0.2439,0.2443,0.2457,0.2449,0.2441,0.3825,0.379,0.3796,0.2535,0.2508,0.2527,0.6412,0.6355,0.6413,0.2384,0.2357,0.235,0.4916,0.4876,0.4898,0.4424,0.4386,0.4397,0.4814,0.4786,0.4779,0.6598,0.655,0.656,0.6397,0.6335,0.6365,0.6425,0.6371,0.6381,0.6264,0.6184,0.6239,0.6406,0.6329,0.6374,0.6715,0.6649,0.6667,0.4818,0.4769,0.4769,0.672,0.6655,0.6676,0.5576,0.5526,0.5541,0.0827,0.0813,0.0817,0.1098,0.1097,0.1094,0.0985,0.0978,0.0948,0.077,0.076,0.0771,0.2242,0.2235,0.2222,0.0609,0.0605,0.0606,0.0594,0.0589,0.0587,0.1034,0.1048,0.1045,0.3231,0.3203,0.3226,0.3476,0.3427,0.3464,0.1179,0.117,0.1181,0.3987,0.3957,0.3953,0.3725,0.3704,0.3717,0.555,0.5488,0.552,0.4636,0.4585,0.4617,0.0921,0.0901,0.0903,0.087,0.0846,0.0861,0.0604,0.0605,0.0609,0.1312,0.1295,0.1289,0.0895,0.0896,0.0894,0.1041,0.1025,0.1037,0.23,0.228,0.2304,0.2402,0.2353,0.2383,0.5821,0.5682,0.581,0.4839,0.479,0.4833,0.4017,0.3962,0.4008,0.587,0.5833,0.58,0.4992,0.4935,0.4959,0.7823,0.7728,0.7619,0.681,0.6683,0.676,0.5193,0.5088,0.5108,0.6068,0.602,0.6016,0.7616,0.7555,0.7578,0.5827,0.5747,0.5803,0.5808,0.5697,0.5847,0.4824,0.4804,0.4842,0.6306,0.6237,0.627,0.2695,0.2702,0.2718,0.0655,0.0658,0.0654,0.0832,0.0834,0.0832,0.2758,0.2744,0.2723,0.1786,0.1772,0.1767,0.0819,0.0812,0.0819,0.3343,0.3342,0.3354,0.1131,0.1113,0.1129,0.0912,0.0896,0.0896,0.1076,0.1073,0.1072
420,0.0735,0.0719,0.0625,0.0599,0.0588,0.0589,0.0705,0.071,0.0707,0.6344,0.6296,0.6339,0.7063,0.6991,0.7019,0.2812,0.2749,0.2756,0.2345,0.2337,0.2331,0.4427,0.4386,0.4397,0.2415,0.2392,0.2409,0.6658,0.6606,0.6647,0.2783,0.2754,0.2745,0.5381,0.5342,0.5361,0.5051,0.5014,0.5021,0.5275,0.5253,0.5243,0.6859,0.6811,0.6824,0.6704,0.6643,0.6671,0.6617,0.6567,0.6578,0.6713,0.6635,0.6687,0.678,0.6707,0.6749,0.7005,0.6941,0.6968,0.5268,0.5222,0.5221,0.6961,0.689,0.6918,0.539,0.5347,0.5363,0.0794,0.078,0.0786,0.1039,0.1039,0.1038,0.0925,0.0918,0.0891,0.073,0.072,0.0732,0.2101,0.2097,0.2084,0.0608,0.0606,0.0605,0.0598,0.0592,0.059,0.0945,0.0957,0.0956,0.3211,0.3185,0.3208,0.3196,0.3149,0.3185,0.1064,0.1055,0.1069,0.3709,0.3684,0.3682,0.4016,0.3995,0.4014,0.5507,0.545,0.5477,0.4542,0.4495,0.4523,0.0845,0.0827,0.0829,0.0827,0.0806,0.0821,0.0591,0.0591,0.0595,0.123,0.1213,0.1212,0.0812,0.0816,0.0813,0.1017,0.1001,0.1012,0.2098,0.2078,0.2101,0.2484,0.2438,0.2468,0.5716,0.5593,0.5709,0.4739,0.4698,0.4738,0.41,0.4049,0.4092,0.8429,0.8375,0.8361,0.4847,0.4795,0.482,0.8571,0.8401,0.8368,0.829,0.8011,0.8207,0.8526,0.8377,0.8423,0.6724,0.6686,0.6679,0.8274,0.8202,0.8243,0.6394,0.632,0.6372,0.6975,0.6816,0.7036,0.7926,0.7897,0.7916,0.623,0.6169,0.6201,0.2584,0.2594,0.2608,0.0662,0.0661,0.0659,0.0815,0.0817,0.0816,0.2645,0.2633,0.2616,0.1715,0.1708,0.1701,0.0807,0.0799,0.0808,0.3354,0.3355,0.3365,0.1047,0.1031,0.1049,0.0868,0.0855,0.0852,0.1009,0.1008,0.1006
430,0.0736,0.0718,0.0625,0.058,0.0568,0.057,0.0678,0.0684,0.068,0.6518,0.6474,0.6523,0.7369,0.729,0.7326,0.3026,0.2963,0.2973,0.2244,0.2238,0.2233,0.4992,0.4944,0.4959,0.2312,0.2289,0.2306,0.6808,0.6754,0.6786,0.312,0.3088,0.3081,0.572,0.5681,0.57,0.5614,0.5575,0.558,0.562,0.5598,0.5588,0.7049,0.6991,0.7011,0.694,0.6877,0.6906,0.6759,0.6712,0.6718,0.7071,0.6993,0.7045,0.7047,0.697,0.7016,0.7212,0.7152,0.7177,0.5603,0.5556,0.5553,0.7122,0.7044,0.7078,0.5227,0.519,0.5204,0.0781,0.0769,0.0773,0.1031,0.1029,0.103,0.0929,0.0922,0.0896,0.0738,0.0729,0.0739,0.2078,0.2074,0.2059,0.0652,0.065,0.0648,0.064,0.0637,0.0635,0.0892,0.0905,0.0906,0.3209,0.3185,0.3204,0.2991,0.2947,0.2983,0.1016,0.1009,0.1022,0.3478,0.3455,0.3454,0.4133,0.4111,0.4134,0.5452,0.5397,0.5423,0.446,0.4417,0.4442,0.08,0.0785,0.0785,0.0822,0.0803,0.0818,0.0591,0.059,0.0593,0.1175,0.1161,0.1157,0.0763,0.0767,0.0763,0.1006,0.0991,0.1001,0.1962,0.1945,0.1964,0.2679,0.263,0.2661,0.5608,0.5496,0.561,0.4637,0.4602,0.4637,0.4116,0.4067,0.4108,0.9617,0.9552,0.956,0.4703,0.4654,0.4678,0.8856,0.863,0.8658,0.878,0.8387,0.8686,1.0494,1.0263,1.0381,0.6946,0.6914,0.6903,0.8546,0.8461,0.8513,0.6555,0.6484,0.6534,0.7408,0.7223,0.7479,0.9722,0.965,0.9674,0.6141,0.6087,0.6116,0.2603,0.2616,0.2629,0.0711,0.0712,0.0709,0.0827,0.083,0.0831,0.2667,0.2656,0.2637,0.1743,0.1738,0.1729,0.0827,0.0819,0.0828,0.3499,0.3496,0.3506,0.1012,0.0997,0.1016,0.0892,0.0877,0.0875,0.1,0.0998,0.0995
440,0.0735,0.0718,0.0624,0.0558,0.0548,0.055,0.0651,0.0655,0.0652,0.6596,0.6551,0.6598,0.7679,0.7583,0.763,0.3163,0.3099,0.3109,0.2141,0.2136,0.213,0.566,0.5595,0.5615,0.2206,0.2182,0.2202,0.6848,0.6792,0.6819,0.3436,0.3402,0.3396,0.6048,0.6009,0.6028,0.6259,0.6218,0.6224,0.5956,0.5932,0.5925,0.7231,0.7166,0.7187,0.7177,0.7112,0.7145,0.6898,0.685,0.6856,0.7429,0.7345,0.74,0.7355,0.727,0.7321,0.741,0.7349,0.7377,0.5928,0.5877,0.5874,0.7265,0.7174,0.7216,0.5108,0.5072,0.5088,0.0783,0.0772,0.0775,0.1058,0.1057,0.1057,0.098,0.0973,0.0945,0.0781,0.0772,0.0782,0.2147,0.2142,0.2126,0.0741,0.0736,0.0737,0.0726,0.0719,0.0717,0.0864,0.0876,0.0877,0.3229,0.3204,0.3224,0.2843,0.2802,0.2839,0.1018,0.1009,0.1023,0.3315,0.3296,0.3297,0.4269,0.425,0.4269,0.5372,0.532,0.5344,0.4354,0.4312,0.4338,0.0767,0.0752,0.0753,0.084,0.0823,0.0836,0.0597,0.0595,0.0599,0.112,0.1107,0.1102,0.0727,0.0731,0.0728,0.0998,0.0982,0.0992,0.1845,0.1832,0.1849,0.2917,0.2867,0.2898,0.5495,0.5389,0.5498,0.4548,0.4516,0.4551,0.4148,0.4104,0.4141,0.9878,0.9799,0.9826,0.4574,0.453,0.4554,0.8994,0.8729,0.8807,0.8922,0.8479,0.883,1.1022,1.0706,1.0911,0.7073,0.704,0.703,0.871,0.8611,0.8676,0.6636,0.6563,0.6615,0.7542,0.7343,0.7616,1.0195,1.0085,1.013,0.6065,0.6017,0.6043,0.2743,0.2753,0.2768,0.081,0.0814,0.0811,0.0873,0.0876,0.0875,0.2811,0.2798,0.2779,0.1865,0.1856,0.1849,0.0877,0.087,0.0879,0.3792,0.3787,0.3796,0.1039,0.1025,0.1042,0.0965,0.0948,0.0948,0.1034,0.1032,0.103
450,0.0734,0.0715,0.0624,0.0539,0.0531,0.0532,0.0628,0.0631,0.0628,0.6564,0.6516,0.6554,0.7911,0.7798,0.7857,0.32,0.3139,0.3146,0.2027,0.2023,0.2017,0.6171,0.6079,0.6113,0.2087,0.2068,0.2083,0.6738,0.6683,0.6707,0.354,0.3505,0.3497,0.6249,0.6208,0.6225,0.6731,0.6688,0.6696,0.6156,0.6135,0.613,0.7376,0.7304,0.7329,0.7376,0.7306,0.7341,0.7013,0.6962,0.6972,0.7695,0.7606,0.7661,0.7631,0.7532,0.7592,0.7556,0.7494,0.7525,0.6126,0.6073,0.6071,0.7357,0.7255,0.7301,0.507,0.5035,0.5053,0.0796,0.0782,0.0785,0.111,0.111,0.1109,0.1067,0.1059,0.1029,0.0845,0.0833,0.0846,0.2306,0.2298,0.2285,0.0869,0.0866,0.0866,0.0847,0.0837,0.0836,0.0856,0.0867,0.0867,0.3263,0.3238,0.3262,0.2784,0.2743,0.2781,0.1056,0.1048,0.1062,0.3255,0.3237,0.3238,0.4398,0.4378,0.4395,0.5246,0.5198,0.5222,0.4196,0.4154,0.4181,0.0738,0.0723,0.0726,0.0869,0.0852,0.0862,0.0596,0.0596,0.06,0.1049,0.1036,0.1033,0.0699,0.0702,0.07,0.0974,0.0958,0.0968,0.1744,0.1729,0.1746,0.2897,0.2849,0.2881,0.5363,0.5258,0.5364,0.4491,0.4459,0.4494,0.4188,0.4143,0.4179,0.962,0.9532,0.9564,0.4507,0.4465,0.4489,0.9006,0.872,0.8835,0.8883,0.8418,0.8796,1.0682,1.034,1.0584,0.7109,0.7071,0.7063,0.8765,0.8656,0.8732,0.6631,0.6562,0.661,0.7489,0.7284,0.7559,0.9958,0.9833,0.9895,0.604,0.5993,0.602,0.3018,0.3025,0.3044,0.0978,0.0979,0.0976,0.095,0.0954,0.0952,0.3086,0.3073,0.3052,0.2088,0.2078,0.2072,0.0958,0.0952,0.096,0.4238,0.4229,0.4235,0.1122,0.1109,0.1125,0.1094,0.1076,0.1076,0.1109,0.1109,0.1106
460,0.0734,0.0717,0.0626,0.0527,0.0517,0.052,0.061,0.0613,0.0609,0.6447,0.6399,0.6425,0.8068,0.794,0.8013,0.3159,0.31,0.3106,0.1892,0.189,0.1885,0.6465,0.6346,0.6397,0.1945,0.1927,0.1941,0.652,0.6463,0.6492,0.341,0.3378,0.3368,0.6319,0.6278,0.6292,0.6997,0.6953,0.6959,0.623,0.6208,0.6202,0.7516,0.7433,0.7468,0.7537,0.7461,0.7497,0.7116,0.7061,0.7073,0.787,0.7777,0.7833,0.7785,0.7671,0.7742,0.7665,0.7601,0.7633,0.6199,0.6147,0.6146,0.7419,0.7305,0.7356,0.5116,0.5081,0.5099,0.0821,0.0806,0.0809,0.1206,0.1202,0.1202,0.1216,0.1206,0.1175,0.0953,0.094,0.0954,0.2575,0.2567,0.2553,0.1119,0.1115,0.1112,0.1076,0.1063,0.1062,0.0869,0.088,0.0881,0.3326,0.3301,0.3324,0.2808,0.2767,0.2804,0.1143,0.1132,0.1149,0.3295,0.3278,0.3279,0.4551,0.4527,0.4543,0.5083,0.5034,0.5056,0.3981,0.3941,0.3967,0.072,0.0706,0.0707,0.0917,0.09,0.091,0.06,0.0599,0.0604,0.0973,0.0961,0.0959,0.0683,0.0686,0.0684,0.0939,0.0924,0.0933,0.1656,0.1642,0.1659,0.2509,0.2461,0.2491,0.5188,0.5087,0.5196,0.447,0.4441,0.4474,0.4253,0.4207,0.4244,0.9321,0.9232,0.9262,0.4504,0.4462,0.4486,0.9011,0.8707,0.8851,0.8842,0.8362,0.8763,1.0244,0.9899,1.0156,0.7145,0.7107,0.71,0.8808,0.869,0.8775,0.6674,0.6604,0.6652,0.7414,0.7209,0.7484,0.9614,0.9485,0.9558,0.6072,0.6022,0.6051,0.3521,0.3525,0.3546,0.1302,0.1303,0.1297,0.1062,0.1067,0.1066,0.3584,0.3568,0.3543,0.2502,0.249,0.2482,0.1079,0.1072,0.1082,0.4818,0.4801,0.4804,0.1273,0.1259,0.1278,0.136,0.1338,0.1337,0.1232,0.1233,0.123
470,0.0734,0.0716,0.0625,0.0516,0.0505,0.0507,0.0596,0.06,0.0595,0.6261,0.6214,0.6229,0.8187,0.8046,0.813,0.3053,0.2994,0.3,0.1738,0.1736,0.1733,0.6654,0.6515,0.6577,0.1782,0.1764,0.1779,0.6238,0.6182,0.6213,0.3176,0.3146,0.3138,0.6331,0.6289,0.6307,0.7169,0.7123,0.7129,0.6248,0.6224,0.6218,0.7652,0.7557,0.7602,0.7655,0.7573,0.7614,0.7199,0.7142,0.7153,0.8001,0.7902,0.7963,0.7825,0.7708,0.7782,0.7755,0.769,0.7723,0.6216,0.6162,0.6162,0.7456,0.7332,0.7389,0.5204,0.517,0.5186,0.0855,0.0839,0.0844,0.1361,0.1356,0.1357,0.1463,0.1452,0.1416,0.1138,0.1125,0.1139,0.2985,0.2975,0.296,0.162,0.1615,0.1611,0.1541,0.1525,0.1522,0.0899,0.0911,0.0914,0.3424,0.3397,0.3421,0.2877,0.2834,0.2873,0.1297,0.1285,0.1302,0.3398,0.3379,0.3382,0.4731,0.4706,0.4717,0.4894,0.4847,0.4866,0.3729,0.3691,0.3717,0.071,0.0697,0.0698,0.099,0.0976,0.0984,0.0605,0.0605,0.0608,0.0906,0.0894,0.0891,0.0674,0.0677,0.0676,0.0901,0.0888,0.0895,0.158,0.1568,0.1584,0.1957,0.1913,0.1937,0.4981,0.4886,0.4993,0.4473,0.4444,0.4478,0.4328,0.4281,0.432,0.9166,0.9077,0.911,0.4522,0.4479,0.4503,0.9044,0.8724,0.89,0.885,0.8355,0.8778,1.0014,0.9668,0.9937,0.7211,0.7172,0.7165,0.8873,0.8745,0.8844,0.6764,0.6696,0.6743,0.7395,0.7187,0.7463,0.9424,0.9291,0.937,0.6122,0.6072,0.6102,0.4373,0.4369,0.4394,0.1944,0.1944,0.1939,0.1214,0.122,0.1217,0.443,0.4401,0.4367,0.3247,0.3228,0.3221,0.1246,0.1236,0.1248,0.5428,0.5402,0.5403,0.157,0.1555,0.1574,0.1929,0.1899,0.1902,0.1422,0.1422,0.1419
480,0.0733,0.0714,0.0625,0.0509,0.05,0.0502,0.0589,0.0591,0.0588,0.6028,0.5979,0.5981,0.8251,0.8105,0.8196,0.2887,0.283,0.2835,0.1587,0.1583,0.1581,0.6631,0.6497,0.656,0.162,0.1604,0.1619,0.5924,0.5869,0.59,0.2879,0.2854,0.2842,0.6268,0.6231,0.6248,0.7146,0.7102,0.7109,0.6183,0.6159,0.6154,0.7773,0.7669,0.7718,0.7712,0.7626,0.7671,0.724,0.718,0.7193,0.8069,0.7966,0.8029,0.7788,0.7678,0.7748,0.7827,0.7765,0.7798,0.6158,0.6104,0.6103,0.7472,0.7344,0.7401,0.5364,0.5327,0.5349,0.09,0.0883,0.0888,0.1585,0.1576,0.1578,0.1852,0.1837,0.1795,0.1437,0.1423,0.1437,0.3571,0.3558,0.3545,0.2516,0.2507,0.2506,0.24,0.2375,0.2371,0.0949,0.0962,0.0963,0.3564,0.3536,0.3561,0.3007,0.2965,0.3004,0.1552,0.1538,0.1555,0.359,0.357,0.3575,0.4892,0.4866,0.4872,0.4704,0.4658,0.4677,0.3466,0.3431,0.3458,0.0704,0.069,0.0693,0.108,0.1069,0.1073,0.0606,0.0606,0.0611,0.0846,0.0835,0.0832,0.067,0.0672,0.0672,0.0865,0.0852,0.0859,0.1522,0.1511,0.1527,0.1444,0.1407,0.1426,0.4775,0.4683,0.4786,0.4509,0.4482,0.4515,0.4383,0.4336,0.4373,0.9045,0.8954,0.899,0.4569,0.4529,0.4552,0.9088,0.8752,0.8953,0.8869,0.8361,0.8812,0.9844,0.9494,0.9778,0.726,0.722,0.7212,0.8947,0.8806,0.8917,0.682,0.675,0.68,0.7386,0.7176,0.7457,0.9276,0.9145,0.9226,0.6214,0.616,0.6194,0.5562,0.5544,0.557,0.3036,0.3028,0.3028,0.143,0.1436,0.1431,0.5619,0.5532,0.551,0.4356,0.4326,0.432,0.146,0.1448,0.1461,0.5957,0.592,0.5917,0.2126,0.2109,0.2129,0.2991,0.2947,0.2956,0.1698,0.1695,0.1694
490,0.0732,0.0715,0.0626,0.0507,0.0499,0.0503,0.0588,0.059,0.0589,0.5768,0.5718,0.5707,0.8252,0.811,0.8199,0.2677,0.2623,0.2625,0.1447,0.1444,0.1442,0.6392,0.6285,0.6332,0.1471,0.1457,0.1469,0.5597,0.5542,0.5576,0.2563,0.2542,0.2531,0.6122,0.6084,0.6102,0.6931,0.6889,0.6896,0.603,0.6007,0.6002,0.7869,0.7754,0.7812,0.7706,0.7624,0.7666,0.7212,0.7156,0.7169,0.8062,0.796,0.8019,0.7686,0.7585,0.7647,0.7893,0.7829,0.7863,0.6015,0.5962,0.5962,0.7464,0.7333,0.739,0.5641,0.5604,0.5626,0.095,0.0931,0.0937,0.1866,0.1856,0.1858,0.2422,0.2402,0.2355,0.1893,0.1873,0.1885,0.4331,0.4313,0.43,0.3756,0.3744,0.3741,0.364,0.3596,0.359,0.1023,0.1037,0.1037,0.3732,0.3703,0.3727,0.3241,0.3198,0.3235,0.1924,0.191,0.1924,0.3936,0.3915,0.3921,0.4985,0.4956,0.4959,0.4524,0.4479,0.4499,0.3211,0.3178,0.3206,0.07,0.0686,0.0689,0.1169,0.1159,0.1161,0.0601,0.0602,0.0606,0.079,0.078,0.0779,0.0668,0.067,0.0669,0.0829,0.0815,0.0821,0.1505,0.1493,0.1511,0.1059,0.1031,0.1045,0.4572,0.4484,0.4586,0.4576,0.4546,0.4581,0.4404,0.4359,0.4394,0.892,0.8831,0.8864,0.466,0.4621,0.4646,0.9118,0.8775,0.9001,0.8885,0.8367,0.8841,0.9676,0.9328,0.9619,0.7265,0.7225,0.7218,0.9008,0.8858,0.8983,0.6823,0.6753,0.6802,0.7382,0.717,0.7454,0.9118,0.8989,0.9072,0.6367,0.6306,0.6343,0.6721,0.6684,0.6711,0.4361,0.434,0.4348,0.17,0.1706,0.17,0.6794,0.6568,0.6617,0.5494,0.5454,0.545,0.17,0.1683,0.1697,0.6383,0.634,0.6338,0.2925,0.2899,0.2921,0.4385,0.4324,0.4337,0.2049,0.2041,0.2042
