wavelength,newsprintsce_0001,newsprintsce_0002,newsprintsce_0003,newsprintsce_0004,newsprintsce_0005,newsprintsce_0006,newsprintsce_0007,newsprintsce_0008,newsprintsce_0009,newsprintsce_0010,newsprintsce_0011,newsprintsce_0012,newsprintsce_0013,newsprintsce_0014,newsprintsce_0015,newsprintsce_0016,newsprintsce_0017,newsprintsce_0018,newsprintsce_0019,newsprintsce_0020,newsprintsce_0021,newsprintsce_0022,newsprintsce_0023,newsprintsce_0024,newsprintsce_0025,newsprintsce_0026,newsprintsce_0027,newsprintsce_0028,newsprintsce_0029,newsprintsce_0030,newsprintsce_0031,newsprintsce_0032,newsprintsce_0033,newsprintsce_0034,newsprintsce_0035,newsprintsce_0036
400,0.2954,0.2925,0.2845,0.2776,0.2843,0.2886,0.293,0.2938,0.2665,0.2668,0.2681,0.2658,0.2684,0.2687,0.2736,0.2687,0.2427,0.241,0.2397,0.2402,0.2212,0.2222,0.222,0.2246,0.2679,0.2685,0.2665,0.2687,0.2665,0.2669,0.2682,0.2672,0.283,0.2844,0.2653,0.2672
410,0.3824,0.3817,0.3703,0.3649,0.3739,0.3812,0.3828,0.386,0.3287,0.3295,0.3304,0.3285,0.3434,0.345,0.3489,0.3432,0.2695,0.2679,0.2661,0.267,0.226,0.2269,0.2271,0.23,0.3231,0.3256,0.3214,0.3248,0.338,0.3387,0.3394,0.3389,0.3558,0.3595,0.3364,0.3397
420,0.4539,0.4572,0.4406,0.4387,0.4486,0.4599,0.457,0.4643,0.3666,0.3679,0.3685,0.3672,0.3971,0.4,0.4027,0.3974,0.272,0.2704,0.2691,0.2698,0.2116,0.2124,0.2134,0.2159,0.3513,0.3553,0.3499,0.3541,0.3878,0.3891,0.3889,0.3893,0.4072,0.4119,0.3859,0.3911
430,0.4906,0.4983,0.4768,0.479,0.4886,0.5041,0.4956,0.5083,0.3733,0.3748,0.3751,0.3742,0.4168,0.4207,0.4219,0.418,0.2604,0.2593,0.2576,0.2584,0.1924,0.1931,0.1941,0.1964,0.3528,0.3572,0.3518,0.3565,0.4057,0.4075,0.4068,0.408,0.4256,0.4312,0.4039,0.4104
440,0.5111,0.5221,0.4968,0.5025,0.5112,0.5297,0.5169,0.5341,0.3701,0.3714,0.3721,0.3708,0.4221,0.4268,0.4277,0.4242,0.2517,0.2509,0.2485,0.2497,0.1794,0.18,0.1807,0.1829,0.3497,0.3549,0.3494,0.3541,0.4143,0.4163,0.4155,0.4172,0.4339,0.4405,0.4126,0.4198
450,0.5243,0.5377,0.5095,0.5187,0.5233,0.5443,0.529,0.549,0.3655,0.3669,0.3677,0.3662,0.4231,0.4282,0.4289,0.4253,0.2518,0.2507,0.2482,0.2499,0.1794,0.1797,0.1805,0.1827,0.352,0.3572,0.3514,0.3557,0.4271,0.4298,0.4288,0.4307,0.4459,0.4533,0.4257,0.4334
460,0.5355,0.5519,0.521,0.5336,0.5314,0.5545,0.5364,0.5587,0.3651,0.3668,0.3672,0.3659,0.4264,0.4318,0.432,0.4288,0.2716,0.2703,0.2678,0.2693,0.2045,0.205,0.2057,0.208,0.3708,0.377,0.3696,0.3752,0.4543,0.4599,0.456,0.4603,0.4719,0.4812,0.4526,0.4628
470,0.5476,0.5679,0.5333,0.5502,0.5393,0.5642,0.5435,0.5681,0.3733,0.3751,0.3748,0.3743,0.4366,0.4428,0.4414,0.4397,0.3251,0.3241,0.3215,0.3224,0.2718,0.2733,0.2728,0.2767,0.4163,0.4278,0.4148,0.4257,0.4961,0.5077,0.4985,0.5079,0.5132,0.5272,0.4945,0.5107
480,0.5586,0.5832,0.5446,0.5655,0.5462,0.573,0.5498,0.5769,0.3891,0.392,0.3899,0.3909,0.4531,0.4613,0.4574,0.4581,0.4145,0.4152,0.4115,0.4138,0.383,0.3899,0.3836,0.3939,0.4844,0.509,0.4823,0.5064,0.5406,0.5614,0.5437,0.5612,0.5573,0.5786,0.5395,0.5639
490,0.5662,0.5938,0.5519,0.576,0.5509,0.5792,0.5544,0.583,0.4097,0.4137,0.4095,0.4123,0.4734,0.4836,0.4772,0.48,0.5158,0.5234,0.5143,0.5233,0.5012,0.5242,0.5012,0.5288,0.5504,0.5969,0.5478,0.5941,0.5729,0.6036,0.5766,0.6032,0.5895,0.6187,0.5727,0.6057
500,0.5686,0.5975,0.5535,0.5791,0.5489,0.5768,0.5526,0.5807,0.4328,0.4381,0.4314,0.4371,0.4951,0.5085,0.4984,0.5046,0.5983,0.6198,0.5982,0.6203,0.5818,0.6288,0.5807,0.6337,0.5936,0.6655,0.5908,0.6634,0.5908,0.6292,0.5945,0.6291,0.607,0.6426,0.5905,0.6313
510,0.5654,0.5945,0.5498,0.5748,0.5367,0.5615,0.5407,0.5658,0.4551,0.4623,0.4528,0.4615,0.5163,0.5337,0.5189,0.5298,0.6399,0.6761,0.6404,0.6767,0.6074,0.6711,0.6054,0.6762,0.6105,0.6995,0.6083,0.6977,0.599,0.643,0.603,0.6426,0.6156,0.6554,0.5996,0.6451
520,0.5561,0.5828,0.5391,0.5612,0.5183,0.5391,0.5233,0.5445,0.4758,0.4856,0.4724,0.4839,0.5363,0.5584,0.538,0.5538,0.6511,0.6968,0.6518,0.6969,0.6011,0.6679,0.5987,0.6728,0.6111,0.7062,0.6097,0.7042,0.6014,0.6484,0.6055,0.6486,0.6181,0.6609,0.6028,0.6515
530,0.5445,0.5674,0.526,0.5435,0.5061,0.5238,0.5115,0.5293,0.493,0.5058,0.4894,0.5043,0.5527,0.5801,0.5544,0.575,0.6526,0.7034,0.6533,0.7036,0.589,0.655,0.5873,0.6592,0.6082,0.7049,0.6064,0.7025,0.6018,0.651,0.606,0.6506,0.6181,0.6625,0.6028,0.6535
540,0.5304,0.5501,0.511,0.5239,0.4866,0.5014,0.4932,0.5073,0.5017,0.5164,0.4978,0.515,0.5629,0.5948,0.5649,0.5897,0.654,0.7081,0.6545,0.7089,0.5778,0.6404,0.5764,0.6453,0.6047,0.7003,0.6034,0.6985,0.6004,0.6498,0.604,0.6496,0.6163,0.6614,0.6011,0.6523
550,0.5156,0.5322,0.4953,0.5039,0.4518,0.4629,0.4599,0.4701,0.4984,0.513,0.4943,0.5118,0.5662,0.5997,0.5674,0.5947,0.6559,0.7137,0.6561,0.7148,0.5632,0.6193,0.5618,0.6233,0.6002,0.6924,0.5987,0.691,0.5964,0.6439,0.5999,0.6433,0.6124,0.656,0.5965,0.6461
560,0.5003,0.514,0.4788,0.4839,0.4364,0.4467,0.4454,0.4546,0.4996,0.5144,0.4957,0.5131,0.5719,0.6081,0.5732,0.6031,0.6578,0.7197,0.6587,0.7204,0.5554,0.6087,0.5546,0.613,0.5986,0.691,0.5975,0.6888,0.5871,0.6305,0.5904,0.6299,0.6042,0.6438,0.5872,0.6329
570,0.4873,0.4993,0.4649,0.4677,0.4845,0.5012,0.492,0.5085,0.5307,0.5532,0.5261,0.5518,0.5935,0.6399,0.5943,0.6343,0.6596,0.725,0.6607,0.7255,0.5688,0.6327,0.5682,0.6372,0.6046,0.7056,0.6029,0.7033,0.5749,0.6132,0.5778,0.6125,0.5921,0.6278,0.5745,0.6156
580,0.4747,0.4851,0.4517,0.4525,0.584,0.6198,0.5864,0.6258,0.5851,0.6243,0.5785,0.6224,0.6245,0.6905,0.6254,0.6838,0.6613,0.7314,0.6627,0.7323,0.595,0.6792,0.5936,0.6835,0.6143,0.7292,0.612,0.7275,0.5623,0.5956,0.5652,0.5951,0.5798,0.6123,0.5615,0.5984
590,0.4642,0.4737,0.4408,0.4403,0.6718,0.7387,0.6679,0.7431,0.6273,0.6868,0.6194,0.6843,0.6466,0.7312,0.6475,0.7239,0.6631,0.7364,0.6643,0.7373,0.6117,0.7123,0.61,0.7166,0.6193,0.7436,0.6176,0.7421,0.5522,0.5813,0.5546,0.5812,0.5699,0.5991,0.5509,0.5843
600,0.4545,0.4627,0.4303,0.4283,0.6994,0.7932,0.6926,0.7962,0.6409,0.7142,0.6324,0.7116,0.6534,0.7486,0.6545,0.7413,0.6651,0.7405,0.6658,0.7411,0.6131,0.719,0.6114,0.7234,0.6192,0.7458,0.6174,0.7437,0.5383,0.5628,0.5403,0.563,0.556,0.5814,0.5364,0.5664
610,0.4504,0.458,0.426,0.4234,0.6963,0.8043,0.6884,0.8064,0.6454,0.7277,0.6366,0.7257,0.6558,0.7594,0.6574,0.7518,0.6678,0.7486,0.6689,0.7489,0.613,0.7244,0.6111,0.7281,0.6196,0.751,0.6178,0.7492,0.5146,0.5333,0.5162,0.5335,0.5331,0.5541,0.5123,0.5368
620,0.4536,0.4619,0.4289,0.427,0.693,0.8102,0.6844,0.812,0.6519,0.7443,0.6427,0.7424,0.6604,0.7732,0.6616,0.7657,0.6736,0.7631,0.6749,0.764,0.6192,0.7426,0.6168,0.7462,0.6247,0.7674,0.6228,0.7664,0.4893,0.502,0.4905,0.5021,0.5083,0.5248,0.4865,0.5055
630,0.4627,0.4725,0.438,0.4377,0.6934,0.8203,0.6843,0.8221,0.6576,0.7613,0.6482,0.7591,0.6648,0.7871,0.6657,0.7794,0.6794,0.7783,0.6808,0.7793,0.6272,0.7656,0.6241,0.7688,0.6302,0.7876,0.6284,0.7861,0.4774,0.4872,0.4784,0.4875,0.4963,0.5103,0.4746,0.491
640,0.48,0.4929,0.4564,0.4592,0.6937,0.8305,0.6841,0.8314,0.6616,0.7763,0.652,0.7741,0.6679,0.7993,0.6686,0.7918,0.6839,0.7922,0.6855,0.7931,0.6326,0.7871,0.6295,0.79,0.6341,0.806,0.6321,0.8042,0.4888,0.5018,0.4904,0.5025,0.5068,0.5231,0.4864,0.5054
650,0.51,0.529,0.4884,0.4984,0.6919,0.837,0.682,0.838,0.6647,0.789,0.6548,0.787,0.6697,0.8098,0.6708,0.8024,0.6876,0.8045,0.6893,0.8062,0.6363,0.8051,0.6332,0.8087,0.637,0.8224,0.6349,0.8209,0.524,0.5466,0.5263,0.547,0.5406,0.5647,0.5225,0.5498
660,0.5477,0.5771,0.5292,0.5515,0.6888,0.8409,0.6791,0.8418,0.6664,0.7996,0.6564,0.7975,0.6706,0.8189,0.6716,0.8105,0.6902,0.8155,0.692,0.8172,0.6388,0.8203,0.6353,0.824,0.6391,0.8364,0.6371,0.835,0.5683,0.6068,0.571,0.6065,0.5834,0.6205,0.5677,0.6093
670,0.5874,0.6342,0.5726,0.6151,0.6861,0.8438,0.6763,0.8443,0.6673,0.808,0.6571,0.8053,0.6712,0.8257,0.6724,0.8178,0.6931,0.8254,0.6947,0.8267,0.6406,0.8335,0.6369,0.8363,0.6408,0.8487,0.6391,0.8471,0.6087,0.6705,0.6123,0.6702,0.6226,0.68,0.6092,0.6729
680,0.6179,0.687,0.6056,0.6741,0.6829,0.8443,0.6724,0.8451,0.6657,0.8115,0.6555,0.8089,0.6703,0.8292,0.6716,0.8217,0.6934,0.8317,0.6957,0.8326,0.6403,0.8408,0.6365,0.8436,0.6406,0.8555,0.6392,0.8544,0.6346,0.7213,0.6389,0.7209,0.648,0.7268,0.6359,0.7232
690,0.6355,0.7258,0.624,0.7166,0.6825,0.8469,0.6721,0.8475,0.6656,0.8143,0.6549,0.8116,0.6707,0.8331,0.6719,0.8256,0.6943,0.8372,0.6966,0.8386,0.6408,0.8469,0.6369,0.8499,0.6411,0.8612,0.6392,0.86,0.6468,0.7511,0.6511,0.7504,0.6593,0.7544,0.6485,0.7526
700,0.6486,0.7586,0.6377,0.752,0.6823,0.8495,0.6717,0.8498,0.6654,0.816,0.6544,0.8136,0.6707,0.8361,0.6713,0.8281,0.6953,0.8421,0.6969,0.8437,0.641,0.8517,0.6372,0.8546,0.6412,0.8661,0.6387,0.8646,0.6542,0.7707,0.6585,0.7693,0.6663,0.7734,0.6559,0.772
