wavelength,newsprintsci_0001,newsprintsci_0002,newsprintsci_0003,newsprintsci_0004,newsprintsci_0005,newsprintsci_0006,newsprintsci_0007,newsprintsci_0008,newsprintsci_0009,newsprintsci_0010,newsprintsci_0011,newsprintsci_0012,newsprintsci_0013,newsprintsci_0014,newsprintsci_0015,newsprintsci_0016,newsprintsci_0017,newsprintsci_0018,newsprintsci_0019,newsprintsci_0020,newsprintsci_0021,newsprintsci_0022,newsprintsci_0023,newsprintsci_0024,newsprintsci_0025,newsprintsci_0026,newsprintsci_0027,newsprintsci_0028,newsprintsci_0029,newsprintsci_0030,newsprintsci_0031,newsprintsci_0032,newsprintsci_0033,newsprintsci_0034,newsprintsci_0035,newsprintsci_0036,newsprintsci_0037,newsprintsci_0038,newsprintsci_0039,newsprintsci_0040,newsprintsci_0041,newsprintsci_0042,newsprintsci_0043,newsprintsci_0044,newsprintsci_0045,newsprintsci_0046,newsprintsci_0047,newsprintsci_0048,newsprintsci_0049,newsprintsci_0050,newsprintsci_0051,newsprintsci_0052,newsprintsci_0053,newsprintsci_0054
400,0.3054,0.3018,0.3032,0.3192,0.3189,0.3207,0.3168,0.3192,0.3165,0.3122,0.3121,0.3148,0.2986,0.3011,0.3011,0.3009,0.3001,0.3024,0.2977,0.2972,0.296,0.2966,0.3001,0.2976,0.2843,0.2833,0.2844,0.2837,0.2816,0.2842,0.2638,0.262,0.2635,0.2631,0.262,0.2631,0.3023,0.3028,0.3032,0.308,0.3027,0.3029,0.3103,0.3101,0.3101,0.311,0.3115,0.3106,0.3118,0.3117,0.309,0.3096,0.31,0.3102
410,0.3962,0.3868,0.3906,0.41,0.4051,0.4081,0.4118,0.4079,0.4086,0.4072,0.4017,0.4066,0.3627,0.364,0.3642,0.3648,0.3626,0.3654,0.3748,0.372,0.3714,0.3737,0.3747,0.3738,0.3148,0.314,0.3147,0.3148,0.3123,0.3143,0.2718,0.2698,0.2713,0.2714,0.2702,0.2707,0.3613,0.3575,0.3601,0.369,0.3585,0.3596,0.3856,0.3824,0.384,0.3872,0.384,0.3849,0.3871,0.3842,0.3827,0.3857,0.3823,0.3841
420,0.4756,0.4583,0.4648,0.4879,0.4761,0.4812,0.4948,0.4814,0.4871,0.4904,0.476,0.4848,0.4038,0.4033,0.4041,0.4056,0.4013,0.4049,0.432,0.4261,0.4265,0.4312,0.4287,0.4293,0.3194,0.3185,0.3195,0.3192,0.3171,0.3186,0.2587,0.2576,0.2588,0.2586,0.258,0.2582,0.3933,0.3859,0.3899,0.4022,0.3881,0.3894,0.4395,0.4328,0.4361,0.4419,0.4346,0.4376,0.4413,0.4349,0.4351,0.4403,0.4335,0.4362
430,0.5214,0.4968,0.5065,0.532,0.5134,0.5218,0.543,0.5204,0.5316,0.539,0.5161,0.5292,0.4132,0.4117,0.413,0.415,0.4097,0.4137,0.455,0.447,0.4483,0.4546,0.4496,0.4509,0.3074,0.3067,0.3081,0.3074,0.3052,0.3071,0.239,0.2381,0.2392,0.2386,0.2383,0.2387,0.3962,0.3875,0.3926,0.4054,0.3905,0.3922,0.4601,0.4513,0.4555,0.4626,0.4532,0.4571,0.462,0.4534,0.4549,0.4612,0.4526,0.4559
440,0.5497,0.5189,0.5314,0.5586,0.5343,0.5458,0.5724,0.5424,0.558,0.5687,0.5387,0.5559,0.4115,0.41,0.4109,0.413,0.4077,0.4117,0.4625,0.4536,0.4555,0.4623,0.4565,0.4582,0.2978,0.297,0.2987,0.2976,0.2954,0.2976,0.2247,0.2239,0.2251,0.2243,0.224,0.2246,0.3938,0.3848,0.3905,0.4029,0.388,0.3902,0.4698,0.4598,0.4647,0.4726,0.4618,0.4662,0.4717,0.4617,0.4641,0.471,0.4613,0.4654
450,0.5682,0.5325,0.5475,0.5759,0.5469,0.5608,0.5894,0.5541,0.5727,0.586,0.5508,0.5707,0.4076,0.4063,0.4069,0.409,0.404,0.4076,0.4641,0.4551,0.4572,0.4643,0.4583,0.46,0.2966,0.2958,0.2972,0.2959,0.2941,0.2964,0.2229,0.2227,0.2236,0.2228,0.2225,0.2232,0.3955,0.3863,0.3921,0.4046,0.3892,0.3918,0.4832,0.4713,0.4774,0.4864,0.4733,0.4788,0.4852,0.4731,0.4765,0.4845,0.473,0.478
460,0.5864,0.5457,0.5634,0.5931,0.5593,0.5762,0.6028,0.5631,0.5845,0.5996,0.5606,0.5823,0.4095,0.4078,0.4086,0.411,0.4056,0.4092,0.47,0.46,0.4626,0.4704,0.4634,0.4651,0.3168,0.316,0.3174,0.3162,0.3142,0.3168,0.2488,0.2484,0.2496,0.2487,0.2482,0.249,0.4172,0.4051,0.4123,0.427,0.4082,0.4119,0.5158,0.4981,0.5071,0.5193,0.5007,0.5087,0.5179,0.5001,0.5062,0.5172,0.5004,0.5077
470,0.606,0.5596,0.5806,0.6121,0.5726,0.5932,0.6152,0.5712,0.5955,0.6124,0.5694,0.5935,0.4188,0.4165,0.4177,0.4206,0.4143,0.4181,0.4826,0.471,0.4744,0.4831,0.4741,0.4766,0.3716,0.3697,0.3715,0.3713,0.3682,0.3709,0.3194,0.3155,0.3179,0.319,0.3156,0.317,0.4717,0.4499,0.4624,0.4833,0.4529,0.4616,0.5679,0.5387,0.5544,0.5724,0.5432,0.5563,0.5704,0.5413,0.5535,0.57,0.5419,0.5548
480,0.6251,0.5727,0.5972,0.6311,0.5859,0.6098,0.6265,0.5789,0.6058,0.6243,0.5774,0.6043,0.4365,0.4327,0.4344,0.4385,0.4307,0.4351,0.5029,0.4883,0.4933,0.5034,0.4914,0.4955,0.4666,0.4597,0.4629,0.4669,0.4586,0.463,0.4449,0.4254,0.4345,0.4447,0.4264,0.4329,0.5614,0.5174,0.5423,0.5749,0.5193,0.5412,0.6268,0.5818,0.6073,0.6324,0.5882,0.6096,0.6299,0.5847,0.6063,0.6294,0.586,0.6074
490,0.6383,0.5817,0.6091,0.6443,0.5951,0.6219,0.6353,0.5846,0.6136,0.633,0.5836,0.6119,0.4598,0.4535,0.4563,0.4618,0.4515,0.457,0.5282,0.5091,0.5162,0.5286,0.5119,0.5186,0.5811,0.5611,0.57,0.5823,0.5603,0.5709,0.5947,0.5402,0.5678,0.5952,0.5428,0.5662,0.6603,0.5831,0.6288,0.6742,0.5835,0.6276,0.6733,0.6131,0.6488,0.6796,0.6215,0.6511,0.6767,0.6165,0.6477,0.6761,0.6183,0.6488
