wavelength,papersci_0001,papersci_0002,papersci_0003,papersci_0004,papersci_0005,papersci_0006,papersci_0007,papersci_0008,papersci_0009,papersci_0010,papersci_0011,papersci_0012,papersci_0013,papersci_0014,papersci_0015,papersci_0016,papersci_0017,papersci_0018,papersci_0019,papersci_0020,papersci_0021,papersci_0022,papersci_0023,papersci_0024,papersci_0025,papersci_0026,papersci_0027,papersci_0028,papersci_0029,papersci_0030,papersci_0031,papersci_0032,papersci_0033,papersci_0034,papersci_0035,papersci_0036,papersci_0037,papersci_0038,papersci_0039,papersci_0040,papersci_0041,papersci_0042,papersci_0043,papersci_0044,papersci_0045,papersci_0046,papersci_0047,papersci_0048,papersci_0049,papersci_0050,papersci_0051,papersci_0052,papersci_0053,papersci_0054,papersci_0055,papersci_0056,papersci_0057,papersci_0058,papersci_0059,papersci_0060,papersci_0061,papersci_0062,papersci_0063,papersci_0064,papersci_0065,papersci_0066,papersci_0067,papersci_0068,papersci_0069,papersci_0070,papersci_0071,papersci_0072,papersci_0073,papersci_0074,papersci_0075,papersci_0076,papersci_0077,papersci_0078,papersci_0079,papersci_0080,papersci_0081,papersci_0082,papersci_0083,papersci_0084,papersci_0085,papersci_0086,papersci_0087,papersci_0088,papersci_0089,papersci_0090,papersci_0091,papersci_0092,papersci_0093,papersci_0094,papersci_0095,papersci_0096,papersci_0097,papersci_0098,papersci_0099,papersci_0100,papersci_0101,papersci_0102,papersci_0103,papersci_0104,papersci_0105,papersci_0106,papersci_0107,papersci_0108,papersci_0109,papersci_0110,papersci_0111,papersci_0112,papersci_0113,papersci_0114,papersci_0115,papersci_0116,papersci_0117,papersci_0118,papersci_0119,papersci_0120,papersci_0121,papersci_0122,papersci_0123,papersci_0124,papersci_0125,papersci_0126,papersci_0127,papersci_0128,papersci_0129,papersci_0130,papersci_0131,papersci_0132,papersci_0133,papersci_0134,papersci_0135,papersci_0136,papersci_0137,papersci_0138,papersci_0139,papersci_0140,papersci_0141,papersci_0142,papersci_0143,papersci_0144,papersci_0145,papersci_0146,papersci_0147,papersci_0148,papersci_0149,papersci_0150,papersci_0151,papersci_0152,papersci_0153,papersci_0154,papersci_0155,papersci_0156,papersci_0157,papersci_0158,papersci_0159,papersci_0160,papersci_0161,papersci_0162,papersci_0163,papersci_0164,papersci_0165,papersci_0166,papersci_0167,papersci_0168,papersci_0169,papersci_0170,papersci_0171,papersci_0172,papersci_0173,papersci_0174,papersci_0175,papersci_0176,papersci_0177,papersci_0178,papersci_0179,papersci_0180,papersci_0181,papersci_0182,papersci_0183,papersci_0184,papersci_0185,papersci_0186,papersci_0187,papersci_0188,papersci_0189,papersci_0190,papersci_0191,papersci_0192,papersci_0193,papersci_0194,papersci_0195,papersci_0196,papersci_0197,papersci_0198,papersci_0199,papersci_0200,papersci_0201,papersci_0202,papersci_0203,papersci_0204,papersci_0205,papersci_0206,papersci_0207,papersci_0208,papersci_0209,papersci_0210,papersci_0211,papersci_0212,papersci_0213,papersci_0214,papersci_0215,papersci_0216
400,0.7066,0.658,0.6754,0.7105,0.6605,0.6861,0.6468,0.6146,0.6301,0.6464,0.6091,0.6243,0.6917,0.6466,0.6728,0.5931,0.562,0.5742,0.5931,0.5627,0.5729,0.6104,0.5951,0.5846,0.6546,0.6192,0.6316,0.5975,0.5863,0.5907,0.6044,0.5909,0.5862,0.3032,0.3014,0.2928,0.596,0.58,0.5746,0.579,0.5709,0.5747,0.5825,0.571,0.5769,0.5941,0.577,0.5818,0.5332,0.5248,0.5251,0.4561,0.4497,0.4499,0.6906,0.6466,0.6712,0.4011,0.2666,0.3115,0.1062,0.1053,0.1053,0.5636,0.5528,0.5522,0.4707,0.4681,0.4679,0.1099,0.1127,0.1127,0.4455,0.4361,0.4502,0.1019,0.1011,0.1024,0.0786,0.075,0.0762,0.512,0.4748,0.4984,0.5165,0.5067,0.5101,0.0919,0.0911,0.0919,0.2566,0.2528,0.2639,0.2536,0.2527,0.2513,0.5501,0.5395,0.5443,0.1009,0.1004,0.1002,0.3312,0.3316,0.3337,0.346,0.3467,0.3444,0.1139,0.1104,0.1183,0.3712,0.3718,0.3693,0.2513,0.2514,0.2511,0.2484,0.2509,0.2505,0.1124,0.1104,0.1123,0.3768,0.3749,0.3751,0.2721,0.2695,0.2726,0.2811,0.2807,0.2689,0.4443,0.4369,0.4372,0.2426,0.2425,0.2443,0.3028,0.3,0.3036,0.4632,0.455,0.4487,0.5691,0.5501,0.5539,0.5611,0.5476,0.5468,0.1958,0.196,0.1959,0.2295,0.2237,0.2302,0.545,0.5356,0.538,0.4159,0.4136,0.4105,0.1609,0.1586,0.1592,0.1876,0.1857,0.1858,0.5628,0.5503,0.5559,0.1361,0.1371,0.1366,0.1392,0.1382,0.1395,0.3733,0.3738,0.3698,0.5148,0.5093,0.5121,0.4536,0.4498,0.4497,0.5577,0.545,0.5394,0.6025,0.5887,0.5928,0.7044,0.6584,0.6915,0.2456,0.2473,0.2426,0.4852,0.48,0.4751,0.3088,0.3097,0.3069,0.4665,0.4577,0.4639,0.6085,0.5729,0.597,0.3481,0.3345,0.3433,0.3345,0.3336,0.3378
410,0.7356,0.6754,0.7022,0.7386,0.6781,0.7111,0.6712,0.6325,0.6517,0.6703,0.625,0.645,0.7198,0.666,0.6975,0.6421,0.5969,0.6166,0.6418,0.5967,0.6151,0.6407,0.6202,0.6119,0.661,0.6233,0.638,0.6277,0.6115,0.6185,0.6346,0.6161,0.6145,0.3706,0.3674,0.3587,0.6182,0.5989,0.5957,0.6036,0.593,0.5975,0.6067,0.5927,0.6,0.6169,0.5961,0.603,0.5629,0.5516,0.5528,0.4472,0.4416,0.4406,0.7066,0.657,0.685,0.4035,0.2673,0.3123,0.0985,0.0975,0.0978,0.5719,0.5597,0.5605,0.4791,0.4763,0.4761,0.0988,0.1015,0.102,0.447,0.4376,0.452,0.0937,0.093,0.0943,0.0736,0.0707,0.0717,0.5523,0.5126,0.5352,0.5162,0.5062,0.5107,0.0881,0.0874,0.088,0.2576,0.254,0.2651,0.2548,0.2542,0.2527,0.5486,0.5383,0.5429,0.0984,0.0982,0.0981,0.3246,0.3252,0.3273,0.3886,0.3884,0.3865,0.0999,0.0967,0.1043,0.3635,0.3644,0.3627,0.2699,0.2697,0.2694,0.2671,0.2696,0.2691,0.1031,0.1016,0.1032,0.3641,0.362,0.3622,0.2655,0.2633,0.2664,0.2721,0.272,0.2627,0.4183,0.4123,0.4123,0.2445,0.244,0.2458,0.3483,0.3444,0.3497,0.4323,0.426,0.4203,0.5472,0.532,0.5341,0.5435,0.5314,0.5308,0.1768,0.1772,0.1771,0.2219,0.2163,0.2228,0.5224,0.5145,0.5165,0.3904,0.3887,0.3855,0.1607,0.1585,0.1594,0.1737,0.1723,0.1723,0.558,0.5463,0.5518,0.119,0.1202,0.1196,0.1218,0.121,0.1224,0.3609,0.3618,0.3572,0.5063,0.5015,0.5041,0.4293,0.4264,0.4263,0.5501,0.5384,0.5329,0.6026,0.5885,0.5928,0.7077,0.6606,0.694,0.5274,0.5157,0.5145,0.689,0.6583,0.6727,0.5767,0.5619,0.5653,0.6795,0.6455,0.6655,0.7453,0.6682,0.721,0.5721,0.5487,0.561,0.5982,0.5872,0.5945
420,0.7606,0.6895,0.7253,0.7626,0.6921,0.7328,0.6907,0.6462,0.6696,0.6894,0.6374,0.6615,0.744,0.6821,0.7192,0.6807,0.6221,0.6498,0.6802,0.6217,0.6483,0.6657,0.64,0.6343,0.6656,0.6264,0.6431,0.6486,0.6287,0.6371,0.6557,0.6324,0.6337,0.433,0.4277,0.4199,0.6361,0.6136,0.6131,0.6231,0.6098,0.6159,0.6262,0.6096,0.6177,0.6354,0.6109,0.6201,0.5891,0.5744,0.5772,0.4388,0.4339,0.4318,0.7163,0.6624,0.6922,0.4117,0.2708,0.3171,0.092,0.0909,0.0915,0.5774,0.5648,0.5661,0.4903,0.4868,0.4868,0.0899,0.0931,0.0935,0.44,0.4315,0.4463,0.0869,0.0867,0.0877,0.0703,0.0677,0.0688,0.581,0.5388,0.5605,0.5218,0.5115,0.5169,0.0873,0.0868,0.0872,0.2633,0.2599,0.2707,0.2606,0.2602,0.2586,0.5448,0.5345,0.539,0.0992,0.0992,0.0989,0.3188,0.3197,0.3219,0.4189,0.4179,0.4166,0.0905,0.0879,0.0951,0.3438,0.3454,0.344,0.2897,0.2892,0.2892,0.2865,0.2889,0.2882,0.0956,0.0942,0.0955,0.3528,0.3507,0.3507,0.2616,0.2596,0.2627,0.2665,0.2664,0.2587,0.3913,0.3866,0.3864,0.2391,0.2384,0.2399,0.3847,0.3802,0.3862,0.4009,0.3969,0.3915,0.5228,0.511,0.5118,0.5221,0.5122,0.5111,0.1617,0.1622,0.1624,0.2247,0.2193,0.2256,0.4975,0.4917,0.4928,0.365,0.364,0.3613,0.1666,0.1644,0.1655,0.1607,0.1596,0.1595,0.5512,0.5403,0.5456,0.1044,0.1057,0.105,0.1072,0.1063,0.1079,0.35,0.3511,0.3458,0.4983,0.4935,0.4961,0.4077,0.4053,0.4049,0.5384,0.5283,0.5225,0.5956,0.5822,0.5865,0.7054,0.6589,0.6912,0.8618,0.8069,0.8372,0.8655,0.796,0.8438,0.8799,0.8187,0.8577,0.8656,0.7944,0.8401,0.8469,0.732,0.8143,0.8109,0.7634,0.789,0.8891,0.8432,0.8726
430,0.7781,0.6988,0.742,0.7794,0.7013,0.7491,0.7028,0.6544,0.6805,0.6996,0.6437,0.6705,0.7614,0.6924,0.7351,0.7021,0.6347,0.6689,0.7018,0.6344,0.6673,0.682,0.6522,0.6488,0.6705,0.6294,0.648,0.6576,0.6355,0.645,0.6651,0.639,0.6419,0.4929,0.4832,0.4781,0.6467,0.6221,0.6233,0.6348,0.6194,0.6267,0.6377,0.6193,0.6284,0.6462,0.6191,0.6299,0.6083,0.5907,0.5953,0.4324,0.4273,0.4247,0.7175,0.6626,0.6919,0.4216,0.2746,0.3233,0.0879,0.0867,0.0873,0.5799,0.5668,0.5687,0.4998,0.4956,0.496,0.0861,0.0897,0.0902,0.424,0.4163,0.4322,0.0832,0.0827,0.0837,0.0709,0.0683,0.0695,0.5894,0.5464,0.5676,0.5386,0.5267,0.5327,0.0918,0.0911,0.0916,0.2785,0.2751,0.2856,0.2761,0.2751,0.2738,0.5441,0.5338,0.5381,0.1049,0.1049,0.1045,0.3208,0.3218,0.3241,0.437,0.4356,0.435,0.0878,0.0852,0.0926,0.3293,0.3312,0.3299,0.311,0.3107,0.3104,0.3072,0.3097,0.309,0.0924,0.0909,0.0922,0.3468,0.344,0.3444,0.2633,0.261,0.2643,0.2671,0.2668,0.2606,0.3702,0.3668,0.3664,0.2314,0.2301,0.2315,0.4068,0.402,0.4085,0.377,0.374,0.3689,0.5025,0.4933,0.4933,0.5033,0.4948,0.4935,0.1564,0.1568,0.1572,0.2417,0.236,0.2423,0.4783,0.474,0.4746,0.347,0.3465,0.344,0.1814,0.1789,0.1804,0.1521,0.1508,0.151,0.5487,0.5382,0.5434,0.0969,0.0983,0.0978,0.0996,0.0989,0.1005,0.344,0.3452,0.3394,0.4941,0.4896,0.4921,0.3968,0.3942,0.3942,0.527,0.5183,0.5124,0.5851,0.5732,0.5774,0.7002,0.655,0.6864,1.0329,0.9316,1.0062,0.9283,0.8328,0.9062,1.031,0.9208,1.0086,0.9316,0.8363,0.9039,0.8774,0.7474,0.8446,0.9246,0.8502,0.8963,1.0283,0.9448,1.0077
440,0.7925,0.7058,0.7564,0.7934,0.7087,0.7629,0.7118,0.6601,0.6884,0.7003,0.6431,0.6703,0.7734,0.6992,0.7461,0.7198,0.6447,0.6844,0.7196,0.6443,0.6831,0.6936,0.6606,0.6591,0.6794,0.6355,0.656,0.6611,0.638,0.6481,0.669,0.6416,0.6452,0.5652,0.5462,0.5472,0.653,0.6266,0.6292,0.6425,0.6257,0.6341,0.6453,0.6254,0.6358,0.6527,0.6238,0.6357,0.6285,0.6074,0.6142,0.4231,0.4185,0.415,0.7101,0.6574,0.6841,0.4288,0.2774,0.3279,0.0836,0.0824,0.0832,0.5787,0.5653,0.5679,0.505,0.5003,0.5011,0.0849,0.0885,0.0891,0.3945,0.3883,0.4056,0.0792,0.0784,0.0796,0.0729,0.07,0.0713,0.5864,0.5441,0.5647,0.5709,0.5547,0.5621,0.1016,0.101,0.1015,0.3075,0.3038,0.314,0.305,0.3035,0.3022,0.5535,0.5422,0.5468,0.1159,0.1157,0.1156,0.3328,0.3339,0.3364,0.4581,0.4564,0.4564,0.0889,0.086,0.0939,0.3297,0.3314,0.33,0.3453,0.3449,0.3442,0.3409,0.343,0.3424,0.0918,0.0903,0.0917,0.345,0.3421,0.3428,0.2699,0.2673,0.2711,0.2729,0.2725,0.2674,0.3543,0.3514,0.3512,0.2266,0.225,0.2263,0.4252,0.42,0.4268,0.3582,0.3558,0.3517,0.4869,0.4797,0.479,0.4881,0.4804,0.4794,0.1604,0.1607,0.1614,0.2745,0.2681,0.2749,0.4668,0.4631,0.4641,0.3348,0.3345,0.3322,0.2071,0.2042,0.2058,0.1467,0.1451,0.1454,0.5575,0.5459,0.5518,0.0943,0.0958,0.0953,0.097,0.0962,0.0979,0.3427,0.3439,0.3376,0.4952,0.491,0.4933,0.3994,0.3967,0.397,0.5181,0.5102,0.504,0.5763,0.5654,0.5698,0.6962,0.6516,0.6827,1.0626,0.9457,1.0415,0.9414,0.8371,0.9207,1.0578,0.931,1.0419,0.9455,0.8418,0.9194,0.8878,0.7511,0.8563,0.9545,0.8667,0.9267,1.0516,0.9554,1.0353
450,0.8036,0.7111,0.7681,0.8044,0.7143,0.774,0.7187,0.664,0.6946,0.6875,0.6337,0.658,0.7766,0.7007,0.7489,0.7361,0.6529,0.699,0.7358,0.6526,0.6975,0.6986,0.6639,0.6635,0.6932,0.6448,0.6682,0.6607,0.6375,0.6476,0.6687,0.6409,0.6452,0.6204,0.5909,0.5992,0.6581,0.6302,0.6337,0.6481,0.6301,0.6392,0.6506,0.6297,0.6409,0.6576,0.6274,0.6407,0.6492,0.6237,0.6333,0.4087,0.4047,0.4004,0.694,0.6465,0.6685,0.4288,0.2765,0.3272,0.0778,0.0768,0.0776,0.571,0.5584,0.5612,0.502,0.4976,0.4981,0.0843,0.0877,0.0884,0.354,0.3493,0.3679,0.0733,0.0729,0.0739,0.0747,0.0712,0.0724,0.5676,0.5281,0.5475,0.6165,0.5927,0.6032,0.1174,0.1165,0.1171,0.3499,0.3451,0.3548,0.347,0.3447,0.3432,0.5732,0.5598,0.5657,0.1333,0.1332,0.133,0.3546,0.3556,0.3579,0.4845,0.4825,0.4827,0.0928,0.0898,0.0985,0.3343,0.336,0.3342,0.3928,0.3923,0.3913,0.3887,0.3901,0.3895,0.0925,0.0912,0.0926,0.3476,0.3446,0.3454,0.2815,0.2791,0.2829,0.2845,0.2842,0.2792,0.347,0.3443,0.3441,0.2298,0.2284,0.2296,0.4422,0.4363,0.4433,0.3486,0.3468,0.343,0.4808,0.4741,0.4734,0.4815,0.4738,0.4734,0.1725,0.1729,0.1737,0.3258,0.3181,0.3256,0.4668,0.463,0.4643,0.3315,0.331,0.3289,0.2435,0.2405,0.2418,0.144,0.1427,0.1431,0.5777,0.5634,0.5709,0.0954,0.0967,0.0964,0.0979,0.0974,0.0991,0.3458,0.3469,0.3405,0.5026,0.4985,0.5006,0.4159,0.4129,0.4132,0.5143,0.5067,0.5006,0.5735,0.5627,0.5673,0.6971,0.6516,0.6836,1.0246,0.9099,1.0077,0.9243,0.8195,0.9054,1.0225,0.8984,1.0105,0.9284,0.8241,0.9049,0.882,0.7444,0.8532,0.9401,0.8484,0.9146,1.0176,0.923,1.0051
460,0.8134,0.7161,0.7787,0.8142,0.7196,0.7845,0.7257,0.6684,0.7014,0.6652,0.6176,0.6371,0.7729,0.6981,0.7452,0.7523,0.661,0.7143,0.7519,0.661,0.7127,0.6974,0.6628,0.6625,0.7123,0.658,0.6852,0.6592,0.6358,0.6459,0.667,0.6392,0.6435,0.6521,0.6144,0.6284,0.6659,0.6362,0.6406,0.6554,0.6356,0.6455,0.6575,0.6355,0.6472,0.6652,0.6332,0.6477,0.671,0.6404,0.6531,0.3891,0.3855,0.3805,0.6733,0.6321,0.6484,0.417,0.2695,0.3181,0.0723,0.0712,0.0718,0.5564,0.5455,0.5478,0.4874,0.4838,0.4839,0.0844,0.0879,0.0885,0.3121,0.3084,0.3282,0.0677,0.0675,0.0683,0.0775,0.0732,0.0745,0.5416,0.5056,0.5239,0.6735,0.6369,0.6539,0.1428,0.1417,0.1424,0.41,0.4025,0.412,0.407,0.4018,0.4007,0.6035,0.5868,0.5944,0.1606,0.1605,0.1601,0.3914,0.3916,0.394,0.5206,0.5186,0.5187,0.1028,0.0994,0.1092,0.3619,0.363,0.3607,0.4559,0.4545,0.4535,0.4533,0.4525,0.452,0.0958,0.0945,0.0957,0.3552,0.352,0.3527,0.2984,0.2958,0.2996,0.3009,0.3005,0.296,0.3478,0.3451,0.345,0.2496,0.2483,0.2499,0.4618,0.4551,0.4625,0.3479,0.346,0.3423,0.4834,0.4766,0.4763,0.4827,0.4751,0.4749,0.1946,0.1951,0.1958,0.4042,0.3931,0.4015,0.4774,0.4732,0.4748,0.3363,0.3361,0.3342,0.2956,0.2924,0.2929,0.1445,0.1433,0.1437,0.609,0.59,0.5999,0.1006,0.102,0.1017,0.1032,0.1027,0.1045,0.3535,0.3547,0.3484,0.518,0.5132,0.5156,0.4455,0.4415,0.4423,0.5163,0.5087,0.5026,0.5772,0.5658,0.5707,0.7044,0.6564,0.6905,0.984,0.8735,0.9696,0.9075,0.8032,0.89,0.9844,0.865,0.9748,0.9108,0.8074,0.89,0.8767,0.7391,0.8508,0.9186,0.826,0.8956,0.9818,0.8904,0.972
470,0.8227,0.7211,0.7888,0.8233,0.7247,0.7947,0.7331,0.6733,0.7081,0.6371,0.5968,0.6111,0.7632,0.6923,0.7358,0.7657,0.6679,0.7273,0.7653,0.6677,0.7257,0.6902,0.6577,0.6561,0.7351,0.6731,0.7056,0.6542,0.6314,0.6414,0.6623,0.6355,0.6389,0.6728,0.6294,0.6477,0.6758,0.6438,0.6496,0.6644,0.6426,0.6536,0.6665,0.6426,0.6553,0.6753,0.6409,0.6567,0.6927,0.6567,0.673,0.3656,0.3625,0.3569,0.6499,0.6156,0.6261,0.3943,0.257,0.3013,0.068,0.0668,0.067,0.5369,0.528,0.5294,0.4634,0.4605,0.4606,0.0855,0.089,0.0896,0.2739,0.271,0.2915,0.0634,0.0632,0.0638,0.0822,0.0767,0.0781,0.5155,0.4827,0.5005,0.7373,0.6817,0.7115,0.1868,0.1851,0.1863,0.4906,0.4759,0.487,0.4879,0.4747,0.4761,0.6484,0.6247,0.6366,0.1991,0.1989,0.1984,0.4465,0.4439,0.4474,0.5654,0.5627,0.5633,0.1226,0.1182,0.1297,0.4336,0.4312,0.4289,0.5357,0.5301,0.5307,0.5357,0.5293,0.5301,0.1024,0.1008,0.1021,0.3672,0.364,0.3649,0.3173,0.3141,0.3185,0.3192,0.3185,0.3148,0.352,0.3493,0.3494,0.2877,0.2864,0.2883,0.4839,0.4763,0.484,0.3511,0.3492,0.3458,0.4898,0.4827,0.4828,0.4868,0.4792,0.4792,0.2353,0.2358,0.2364,0.5141,0.4923,0.5043,0.4954,0.4901,0.4926,0.3454,0.3453,0.3435,0.3708,0.3667,0.3659,0.1475,0.1461,0.1465,0.6549,0.627,0.6423,0.1111,0.1126,0.1125,0.1141,0.1133,0.1156,0.3657,0.3668,0.3609,0.5405,0.5343,0.5374,0.4948,0.4879,0.4902,0.5207,0.5126,0.5068,0.5834,0.571,0.5768,0.7147,0.6633,0.7002,0.9621,0.854,0.9498,0.9002,0.7959,0.8843,0.9637,0.8467,0.956,0.9028,0.7992,0.8844,0.8765,0.7378,0.8531,0.9076,0.8143,0.8871,0.9626,0.8724,0.955
480,0.8309,0.7256,0.7982,0.8313,0.7295,0.8039,0.7382,0.6769,0.7134,0.6062,0.5728,0.5821,0.7486,0.6835,0.7223,0.7746,0.6723,0.7362,0.7743,0.6724,0.7346,0.6787,0.649,0.6456,0.758,0.6882,0.7271,0.6452,0.6244,0.6328,0.6533,0.6286,0.6306,0.6707,0.628,0.6459,0.6828,0.6495,0.6564,0.6714,0.6483,0.6605,0.6734,0.6483,0.662,0.6827,0.6464,0.6635,0.7106,0.67,0.6899,0.3409,0.3382,0.3324,0.6268,0.5984,0.6039,0.3674,0.2423,0.282,0.0646,0.0633,0.0633,0.5157,0.5086,0.5095,0.4375,0.4358,0.4353,0.0865,0.0898,0.0904,0.2416,0.2392,0.2596,0.0599,0.0596,0.0603,0.0872,0.0805,0.082,0.4932,0.4621,0.4801,0.7953,0.7188,0.7672,0.2612,0.2587,0.2601,0.5798,0.551,0.5678,0.5777,0.5499,0.5578,0.7058,0.6694,0.6905,0.2466,0.246,0.2453,0.5135,0.5051,0.5108,0.611,0.6071,0.608,0.1533,0.1478,0.1612,0.5252,0.5156,0.5155,0.6243,0.6081,0.6146,0.6276,0.6095,0.615,0.111,0.1093,0.1109,0.3836,0.38,0.3813,0.3391,0.3353,0.3401,0.341,0.3397,0.3365,0.3615,0.3588,0.359,0.3352,0.3334,0.3358,0.506,0.4974,0.5057,0.3607,0.3588,0.3556,0.5032,0.495,0.496,0.4965,0.4882,0.4891,0.3041,0.3043,0.3045,0.643,0.5959,0.6211,0.5236,0.5159,0.5203,0.361,0.3607,0.359,0.4739,0.4662,0.4647,0.1531,0.1518,0.1524,0.7137,0.671,0.6963,0.1286,0.1302,0.13,0.1319,0.1311,0.1337,0.3827,0.3834,0.3776,0.5705,0.5621,0.5661,0.5674,0.5528,0.5589,0.5287,0.5199,0.5146,0.5951,0.5811,0.5879,0.7313,0.6745,0.7161,0.946,0.8401,0.9366,0.8955,0.7908,0.881,0.9483,0.8333,0.9425,0.8977,0.7936,0.8813,0.8777,0.7377,0.857,0.8997,0.8064,0.881,0.9484,0.8596,0.9427
490,0.8358,0.7286,0.8047,0.8363,0.7329,0.8101,0.7371,0.6764,0.7127,0.5746,0.5468,0.5521,0.7303,0.6721,0.7053,0.7777,0.6736,0.7396,0.7775,0.6736,0.7379,0.6638,0.6379,0.6323,0.7752,0.6995,0.7436,0.6301,0.6119,0.6189,0.6383,0.6166,0.6167,0.645,0.6095,0.6218,0.6795,0.6471,0.6535,0.6703,0.6477,0.6596,0.6721,0.6476,0.6613,0.679,0.6441,0.6609,0.718,0.6756,0.6969,0.3172,0.3148,0.3087,0.6042,0.5809,0.5824,0.3414,0.2279,0.2632,0.0616,0.0604,0.06,0.4944,0.489,0.4891,0.4136,0.4123,0.4115,0.0865,0.0898,0.0905,0.2149,0.2128,0.2329,0.0569,0.0567,0.0573,0.0905,0.0829,0.0843,0.4765,0.4449,0.4646,0.8343,0.7422,0.8083,0.3648,0.3596,0.3618,0.6515,0.6064,0.6317,0.6502,0.6053,0.6233,0.7586,0.7076,0.7408,0.3037,0.3024,0.3017,0.5769,0.5595,0.5697,0.6463,0.6411,0.6423,0.1975,0.1912,0.2058,0.6014,0.5818,0.5873,0.6999,0.6685,0.6851,0.7053,0.6715,0.6859,0.1205,0.1189,0.1203,0.4023,0.3983,0.3997,0.3667,0.3618,0.367,0.3695,0.367,0.3632,0.3801,0.3767,0.3774,0.3749,0.3718,0.3749,0.5246,0.5148,0.5237,0.3824,0.3804,0.3771,0.5284,0.5175,0.5205,0.5151,0.5056,0.5077,0.395,0.3937,0.3936,0.7542,0.6736,0.7223,0.5662,0.5533,0.5607,0.3869,0.3863,0.3849,0.5924,0.5736,0.5757,0.1618,0.1607,0.1615,0.7668,0.7078,0.746,0.1544,0.156,0.1559,0.158,0.1575,0.1602,0.4016,0.4021,0.3966,0.6049,0.5933,0.5988,0.647,0.6187,0.6324,0.5416,0.5314,0.5269,0.6138,0.5967,0.6052,0.7569,0.6912,0.7406,0.9309,0.8272,0.9237,0.8907,0.7862,0.8779,0.9337,0.8209,0.9293,0.8925,0.7888,0.8783,0.8789,0.738,0.8611,0.8904,0.7977,0.8735,0.9344,0.8474,0.9309
