wavelength,d_ocul1,d_ocul2,d_ocul_32
390,0.608146,1.904054,2.5122
395,0.649236,1.481364,2.1306
400,0.661837,1.103063,1.7649
405,0.587956,0.837744,1.4257
410,0.530708,0.606672,1.13738
415,0.46804,0.43826,0.9063
420,0.427672,0.296308,0.72398
425,0.393583,0.202137,0.59572
430,0.372871,0.114729,0.4876
435,0.336814,0.071286,0.4081
440,0.310032,0.031288,0.34132
445,0.282708,0.017272,0.29998
450,0.258499,0.004381,0.26288
455,0.24165,0.00215,0.2438
460,0.2279,0,0.2279
465,0.21306,0,0.21306
470,0.20458,0,0.20458
475,0.19292,0,0.19292
480,0.18338,0,0.18338
485,0.1749,0,0.1749
490,0.16748,0,0.16748
495,0.16006,0,0.16006
500,0.1537,0,0.1537
505,0.14628,0,0.14628
510,0.1378,0,0.1378
515,0.12932,0,0.12932
520,0.12296,0,0.12296
525,0.1166,0,0.1166
530,0.11024,0,0.11024
535,0.10494,0,0.10494
540,0.09858,0,0.09858
545,0.09222,0,0.09222
550,0.08586,0,0.08586
555,0.0795,0,0.0795
560,0.0742,0,0.0742
565,0.06784,0,0.06784
570,0.06148,0,0.06148
575,0.05512,0,0.05512
580,0.04876,0,0.04876
585,0.04346,0,0.04346
590,0.03812,0,0.03812
595,0.03286,0,0.03286
600,0.02968,0,0.02968
605,0.02544,0,0.02544
610,0.02226,0,0.02226
615,0.01908,0,0.01908
620,0.01696,0,0.01696
625,0.01484,0,0.01484
630,0.01166,0,0.01166
635,0.00848,0,0.00848
640,0.0053,0,0.0053
645,0.00424,0,0.00424
650,0.00318,0,0.00318
655,0.00106,0,0.00106
660,0,0,0
665,0,0,0
670,0,0,0
675,0,0,0
680,0,0,0
685,0,0,0
690,0,0,0
695,0,0,0
700,0,0,0
705,0,0,0
710,0,0,0
715,0,0,0
720,0,0,0
725,0,0,0
730,0,0,0
735,0,0,0
740,0,0,0
745,0,0,0
750,0,0,0
755,0,0,0
760,0,0,0
765,0,0,0
770,0,0,0
775,0,0,0
780,0,0,0
785,0,0,0
790,0,0,0
795,0,0,0
800,0,0,0
805,0,0,0
810,0,0,0
815,0,0,0
820,0,0,0
825,0,0,0
830,0,0,0
