²¨³¤,Count
362,-4
363,-12.8591
364,-20.4646
365,1.59735
366,-9.88089
367,-2.719
368,13.8741
369,12.6102
370,6.09116
371,5.89119
372,13.4041
373,-11.7672
374,26.5414
375,9.63246
376,-9.15306
377,-15.9352
378,-20.7939
379,24.176
380,-2.1296
381,-2.22926
382,0.369831
383,6.82944
384,-3.48262
385,18.5054
386,-20.1798
387,12.9038
388,7.70368
389,1.14452
390,3.53803
391,-2.61492
392,-18.8346
393,-16.2093
394,6.04894
395,-7.39411
396,-11.2926
397,6.56901
398,5.67183
399,-22.8704
400,-37.6018
401,0.00252008
402,-19.7295
403,19.474
404,8.06969
405,0.948191
406,13.0013
407,12.1192
408,10.0998
409,1.92633
410,2.51497
411,5.47399
412,8.21299
413,-0.408114
414,0.490548
415,6.90524
416,-8.95244
417,-4.70914
418,-9.83679
419,9.26535
420,-4.22946
421,12.3626
422,19.0527
423,10.8476
424,12.1321
425,-5.38975
426,10.8837
427,18
428,-19.6944
429,28.4126
430,-9.64313
431,4.35194
432,6.66519
433,14.6871
434,-12.9154
435,-8.0952
436,11.992
437,-2.37229
438,16.5147
439,28.9432
440,-5.62157
441,14.6558
442,36.998
443,-4.04109
444,-27.1007
445,-0.715351
446,6.75357
447,4.09843
448,7.22669
449,6.80291
450,20.2541
451,17.2797
452,13.7961
453,5.77195
454,10.6746
455,2.07295
456,37.8938
457,143.848
458,1015.53
459,1000.08
460,680.794
461,3159.27
462,4690.65
463,1479.55
464,773.747
465,2193.29
466,1199.19
467,36.3304
468,14.8295
469,14.157
470,4.68647
471,-14.3705
472,10.8583
473,-8.00883
474,-7.5
475,19.4887
476,22.689
477,12.5401
478,-9.79897
479,4.8504
480,5.19332
481,-15.1165
482,-3.44906
483,17.8355
484,4.33441
485,-2.23406
486,-3.16696
487,5.11554
488,-5.98006
489,15.9381
490,-0.508797
491,5.91868
492,3.14936
493,3.77181
494,2.46538
495,2.4092
496,-9.17911
497,1.76552
498,5.49182
499,1.45337
500,12.5702
501,8.73514
502,11.0836
503,-5.47295
504,11.274
505,8.89609
506,0.248681
507,-3.04412
508,19.6053
509,18.6622
510,8.42593
511,22.2799
512,26.9432
513,24.5826
514,14.8898
515,37.5743
516,102.44
517,226.984
518,504.741
519,976.687
520,1805.66
521,3002.49
522,2663.81
523,2342.17
524,1771
525,2176.96
526,2375.37
527,2321.17
528,2303.25
529,1641.19
530,283.849
531,18.2595
532,0.226173
533,6.92487
534,-7.28249
535,0.231339
536,29.6662
537,-5.58862
538,-0.87291
539,-4.03226
540,6.793
541,-6.20735
542,9.26067
543,13.2117
544,3.8211
545,10.7071
546,-13.5365
547,15.9938
548,-0.791616
549,11.0165
550,-21.2904
551,12.7668
552,3.27185
553,11.1118
554,-2.0499
555,-1.1958
556,15.2593
557,15.6354
558,23.4275
559,15.2075
560,4.60507
561,-14.1694
562,11.8872
563,4.08566
564,3.66399
565,28.5
566,-27.6895
567,-3.53548
568,-9.14114
569,16.7312
570,22.6707
571,22.341
572,5.72123
573,9.96296
574,-1.67345
575,1.39381
576,10.4797
577,22.9954
578,12.062
579,4.27559
580,22.1193
581,8.42715
582,21.0497
583,-7.7334
584,2.94379
585,-4.16889
586,-3.84419
587,-9.67501
588,3.95005
589,-5.14027
590,18.2793
591,-7.69842
592,8.86649
593,4.4377
594,6.96589
595,-6.26757
596,8.44581
597,29.5154
598,12.0568
599,14.9233
600,15.3807
601,16.4416
602,10.5
603,2.21203
604,18.3042
605,9.90946
606,15.286
607,-10.9941
608,-1.05325
609,9.48282
610,26.6802
611,-0.862405
612,-10.3505
613,-21.5374
614,7.12681
615,16.9123
616,-0.767379
617,-4.76589
618,20.5975
619,-2.70424
620,10.1118
621,16.2879
622,15.0656
623,7.35443
624,5.40972
625,15.6088
626,15.5289
627,23.1866
628,27.9274
629,44.3931
630,49.6139
631,53.2164
632,103.637
633,90.6393
634,107.826
635,167.422
636,196.041
637,517.293
638,2680.27
639,20453.2
640,37423.7
641,8795.51
642,1658.42
643,134.27
644,65.6342
645,24.4409
646,25.3708
647,18.8494
648,58.6694
649,6.8169
650,22.6908
651,8.93686
652,10.6849
653,7.47932
654,-1.10437
655,9.9681
656,3.69823
657,7.58959
658,8.62555
659,-3.53176
660,-4.96634
661,-9.00858
662,-0.670224
663,-8.77235
664,9.7927
665,-5.34431
666,-6.38257
667,10.2139
668,-14.2141
669,-11.8501
670,-0.4717
671,11.5795
672,0.657606
673,-3.62226
674,-5.46911
675,-15.6551
676,4.19292
677,-16.3231
678,4.41613
679,-5.39144
680,-4.36198
681,-5.42912
682,-3.57255
683,-15.111
684,17.9257
685,-1.41129
686,3.23542
687,-8.94588
688,20.8345
689,-26.568
690,-17.9473
691,-5.13172
692,-9.07465
693,-1.9109
694,-3.82871
695,-3.18338
696,10.4852
697,20.2795
698,-10.7294
699,5.79072
700,-17.9496
701,-2.97477
702,-21.2453
703,-10.3631
704,34.8662
705,4.24535
706,19.0426
707,29.3193
708,4.43412
709,21.1561
710,-14.0258
711,-7.99433
712,12.028
713,15.3734
714,-0.224265
715,4.81217
716,-0.243749
717,-1.57783
718,16.2441
719,-7.68246
720,7.29041
721,-4.40496
722,12.3154
723,3.75416
724,-4.85511
725,27.4787
726,13.5795
727,-23.0592
728,2.50907
729,-1.09909
730,13.1481
731,-34.4106
732,-5.00002
733,-13.0407
734,-32.4745
735,18.9977
736,3.31747
737,-1.93789
738,-4.70957
739,16.012
740,17.2201
741,11.6946
742,6.45572
743,0.336092
744,22.1475
745,10.1981
746,4.72962
747,-3.68152
748,5.42548
749,-15.617
750,3.24831
751,17.7242
752,-10.0033
753,-0.862157
754,-3.7806
755,13.1034
756,-21.4038
757,-13.0317
758,-12.2355
759,-0.310872
760,17.2883
761,-24.0032
762,-8.83165
763,0.492193
764,2.55104
765,10.1356
766,15.3821
767,18.3226
768,-0.547181
769,21.4298
770,-6.82303
771,14.0033
772,-7.37029
773,-0.41966
774,15.3303
775,12.6041
776,-39.9543
777,0.900264
778,-0.036809
779,13.4451
780,-8.56751
781,9.86499
782,21.0057
783,2.42432
784,8.67338
785,13.5195
786,34.0663
787,-11.4148
788,-14.4997
789,1.8498
790,13.0016
791,-5.3536
792,13.5226
793,8.0689
794,-5.58704
795,1.44459
796,2.35969
797,23.8835
798,0.477549
799,-7.41834
800,7.87792
801,10.2696
802,-16.1443
803,16.84
804,15.0106
805,-20.5841
806,17.4503
807,7.64109
808,-10.2413
809,0.952474
810,-23.9216
811,-4.13191
812,-10.6892
813,11.1442
814,14.2148
815,12.0492
816,-9.723
817,23.1216
818,6.99
819,8.38608
820,4.33518
821,-3.62731
822,-7.94585
823,17.8341
824,-6.12631
825,-5.75026
826,28.4056
827,-3.52029
828,-13.9873
829,-21.2822
830,-15.0328
831,15.9119
832,9.93156
833,-2.48668
834,-5.36329
835,1.85385
836,9.46194
837,13.2507
838,5.17883
839,7.29566
840,-0.124062
841,5.29483
842,8.33572
843,23.2777
844,13.7334
845,4.25684
846,17.1954
847,-5.0389
848,8.80509
849,-3.43583
850,16.3533
851,-8.50158
852,2.84413
853,28.1757
854,-21.6663
855,-4.1745
856,9.66195
857,-2.93348
858,-0.512794
859,-24.8143
860,12.6425
861,3.5218
862,2.95796
863,5.01219
864,2.92505
865,5.99268
866,12.169
867,1.15497
868,8
869,-4.77646
870,17.907
871,-7.26871
872,5.33298
873,2.59939
874,52.5327
875,28.8557
876,-0.314027
877,-10.9149
878,-4.36989
879,2.65261
880,-4.30513
881,3.50405
882,5.48636
883,-2.19513
884,10.5003
885,-15.7439
886,-16.0725
887,-5.33848
888,-4.20319
889,-7.04978
890,-15.7242
891,-3.09273
892,0.117898
893,-34.8303
894,-6.20698
895,1.29828
896,-16.8576
897,-1.58096
898,2.76632
899,-2.09915
900,12.3431
901,6.00754
902,15.4637
903,7.22924
904,-30.5278
905,-3.07279
906,-6.28819
907,4.10887
908,-25.2504
909,5.14596
910,-12.0568
911,-25.9527
912,-2.44726
913,-24.5072
914,-10.4542
915,8.36349
916,-16.6582
