Wavelength(nm),Spectrum,,,,,,,,,,,,
380,8.51E-05,,,,,,,,,,,,
381,6.82E-05,,,,,,,,,,,,
382,7.83E-05,,,,,,,,,,,,
383,8.09E-05,,,,,,,,,,,,
384,9.52E-05,,,,,,,,,,,,
385,8.19E-05,,,,,,,,,,,,
386,1.17E-04,,,,,,,,,,,,
387,8.68E-05,,,,,,,,,,,,
388,9.06E-05,,,,,,,,,,,,
389,1.04E-04,,,,,,,,,,,,
390,9.99E-05,,,,,,,,,,,,
391,1.02E-04,,,,,,,,,,,,
392,8.25E-05,,,,,,,,,,,,
393,1.00E-04,,,,,,,,,,,,
394,1.01E-04,,,,,,,,,,,,
395,1.08E-04,,,,,,,,,,,,
396,1.17E-04,,,,,,,,,,,,
397,1.10E-04,,,,,,,,,,,,
398,1.08E-04,,,,,,,,,,,,
399,1.07E-04,,,,,,,,,,,,
400,1.08E-04,,,,,,,,,,,,
401,1.09E-04,,,,,,,,,,,,
402,1.36E-04,,,,,,,,,,,,
403,1.22E-04,,,,,,,,,,,,
404,1.26E-04,,,,,,,,,,,,
405,1.40E-04,,,,,,,,,,,,
406,1.38E-04,,,,,,,,,,,,
407,1.33E-04,,,,,,,,,,,,
408,1.54E-04,,,,,,,,,,,,
409,1.57E-04,,,,,,,,,,,,
410,1.66E-04,,,,,,,,,,,,
411,1.54E-04,,,,,,,,,,,,
412,1.62E-04,,,,,,,,,,,,
413,1.64E-04,,,,,,,,,,,,
414,1.48E-04,,,,,,,,,,,,
415,1.71E-04,,,,,,,,,,,,
416,1.81E-04,,,,,,,,,,,,
417,1.75E-04,,,,,,,,,,,,
418,1.81E-04,,,,,,,,,,,,
419,1.85E-04,,,,,,,,,,,,
420,1.80E-04,,,,,,,,,,,,
421,1.88E-04,,,,,,,,,,,,
422,2.01E-04,,,,,,,,,,,,
423,2.01E-04,,,,,,,,,,,,
424,2.14E-04,,,,,,,,,,,,
425,2.11E-04,,,,,,,,,,,,
426,2.28E-04,,,,,,,,,,,,
427,2.20E-04,,,,,,,,,,,,
428,2.27E-04,,,,,,,,,,,,
429,2.35E-04,,,,,,,,,,,,
430,2.45E-04,,,,,,,,,,,,
431,2.66E-04,,,,,,,,,,,,
432,2.82E-04,,,,,,,,,,,,
433,2.89E-04,,,,,,,,,,,,
434,3.18E-04,,,,,,,,,,,,
435,3.28E-04,,,,,,,,,,,,
436,3.69E-04,,,,,,,,,,,,
437,3.77E-04,,,,,,,,,,,,
438,4.07E-04,,,,,,,,,,,,
439,4.58E-04,,,,,,,,,,,,
440,4.51E-04,,,,,,,,,,,,
441,5.04E-04,,,,,,,,,,,,
442,5.15E-04,,,,,,,,,,,,
443,5.58E-04,,,,,,,,,,,,
444,6.04E-04,,,,,,,,,,,,
445,6.45E-04,,,,,,,,,,,,
446,6.95E-04,,,,,,,,,,,,
447,7.76E-04,,,,,,,,,,,,
