sample_id,dataset,subdataset,label,source_file,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
munsell_matt_spectrophotometer__munsell_matt__0001,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.424,0.6365,0.6958,0.7017,0.698,0.6969,0.6958,0.6932,0.6918,0.6723,0.6672,0.6752,0.6604,0.6463,0.6565,0.6958,0.7328,0.7586,0.7665,0.7674,0.7669,0.7675,0.7628,0.766,0.7649,0.7591,0.7597,0.7622,0.7576,0.7564,0.7585
munsell_matt_spectrophotometer__munsell_matt__0002,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.3967,0.5205,0.5326,0.5211,0.5212,0.5148,0.5085,0.5151,0.506,0.4905,0.4907,0.4911,0.4797,0.4689,0.4709,0.5177,0.5556,0.5756,0.5771,0.5824,0.577,0.5738,0.5763,0.5714,0.5706,0.5719,0.5659,0.5654,0.5662,0.5609,0.561
munsell_matt_spectrophotometer__munsell_matt__0003,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.3377,0.3893,0.3877,0.3799,0.3752,0.374,0.3715,0.3686,0.3642,0.3486,0.3466,0.3571,0.345,0.3317,0.3401,0.3723,0.4043,0.4285,0.4301,0.4322,0.4341,0.4315,0.4295,0.4306,0.4238,0.4226,0.4254,0.4214,0.4213,0.4202,0.4157
munsell_matt_spectrophotometer__munsell_matt__0004,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.2611,0.2756,0.27,0.2649,0.26,0.2564,0.2507,0.2513,0.2477,0.2381,0.2325,0.238,0.2262,0.2164,0.2265,0.2586,0.2825,0.3064,0.3067,0.3051,0.3072,0.3033,0.3021,0.3017,0.2966,0.297,0.2955,0.291,0.2913,0.2923,0.2878
munsell_matt_spectrophotometer__munsell_matt__0005,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.1822,0.1832,0.1796,0.1711,0.172,0.1675,0.1622,0.1652,0.1629,0.1511,0.1513,0.1531,0.1449,0.1429,0.1475,0.1652,0.1804,0.2001,0.202,0.2081,0.2053,0.2034,0.2058,0.2031,0.1992,0.2001,0.1983,0.1947,0.198,0.1958,0.1932
munsell_matt_spectrophotometer__munsell_matt__0006,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.1159,0.1156,0.1114,0.1082,0.1108,0.1039,0.1031,0.1036,0.0993,0.0955,0.0958,0.0937,0.0899,0.0907,0.0922,0.1053,0.1059,0.1169,0.1307,0.1445,0.1447,0.1415,0.1459,0.1425,0.1417,0.1428,0.1376,0.137,0.1386,0.1378,0.1366
munsell_matt_spectrophotometer__munsell_matt__0007,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.0686,0.0686,0.066,0.0643,0.0629,0.0644,0.0616,0.06,0.06,0.0558,0.057,0.0571,0.0521,0.0552,0.0591,0.0582,0.0493,0.0658,0.0738,0.0862,0.0922,0.0933,0.0916,0.0919,0.0869,0.0858,0.0878,0.0882,0.0844,0.0874,0.0867
munsell_matt_spectrophotometer__munsell_matt__0008,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.0521,0.0443,0.0462,0.0493,0.0496,0.0463,0.0452,0.0396,0.0415,0.0429,0.0406,0.04,0.0399,0.0374,0.0408,0.0434,0.0302,0.0474,0.053,0.05,0.0528,0.0611,0.0694,0.0758,0.0905,0.1005,0.1022,0.1082,0.1108,0.1128,0.1134
munsell_matt_spectrophotometer__munsell_matt__0009,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.3889,0.4981,0.5074,0.4943,0.4879,0.4798,0.4739,0.4806,0.4718,0.4433,0.4437,0.4454,0.429,0.4155,0.4209,0.481,0.5507,0.597,0.6387,0.6678,0.6726,0.6716,0.6755,0.6737,0.6725,0.6719,0.6684,0.6656,0.6689,0.6635,0.6676
munsell_matt_spectrophotometer__munsell_matt__0010,munsell_matt_spectrophotometer,munsell_matt,munsell_matt_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\munsell_matt_spectrophotometer\munsell380_800_1.asc,0.3332,0.3771,0.3742,0.359,0.3543,0.3482,0.3441,0.3474,0.34,0.3169,0.3134,0.3217,0.3054,0.2919,0.3007,0.3489,0.4138,0.4563,0.4829,0.4984,0.5062,0.5013,0.5022,0.498,0.4944,0.4961,0.4945,0.4882,0.4896,0.4861,0.482
