sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
agfa_it872__agfa_it872__0001,agfa_it872,agfa_it872,A1,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.02,7.77,7.95,7.65,7.56,7.44,7.31,7.36,7.49,7.53,7.33,6.99,6.63,6.23,6.32,6.96,7.37,8.08,8.96,9.5,9.43,8.9,8.25,7.77,7.42,7.23,7.34,7.73,8.41,9.59,11.43
agfa_it872__agfa_it872__0002,agfa_it872,agfa_it872,A2,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,6.99,7.66,7.72,7.34,7.22,6.99,6.77,6.71,6.64,6.5,6.24,5.95,5.69,5.4,5.56,6.2,6.57,7.33,8.57,9.85,10.64,10.73,10.41,10.08,9.8,9.63,9.78,10.3,11.19,12.78,15.05
agfa_it872__agfa_it872__0003,agfa_it872,agfa_it872,A3,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.13,7.83,7.83,7.39,7.21,6.95,6.64,6.42,6.17,5.92,5.6,5.33,5.18,5.03,5.24,5.78,6.04,6.74,8.22,10.36,12.51,14.13,14.98,15.29,15.49,15.72,16.16,17,18.34,20.43,23.28
agfa_it872__agfa_it872__0004,agfa_it872,agfa_it872,A4,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,7.28,8.05,8.13,7.64,7.48,7.23,6.86,6.6,6.34,6.03,5.6,5.32,5.2,5.01,5.24,5.79,5.97,6.81,8.63,11.22,13.96,16.26,17.74,18.55,19.11,19.55,20.16,21.27,22.84,25.08,28.06
agfa_it872__agfa_it872__0005,agfa_it872,agfa_it872,A5,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,8.63,12.09,14.14,14.02,14.16,14.19,14.25,14.53,14.81,14.88,14.48,13.61,12.6,11.72,11.6,12.69,14.16,16.35,18.9,20.87,21.63,21.23,20.36,19.52,18.79,18.4,18.53,19.18,20.46,22.58,25.47
agfa_it872__agfa_it872__0006,agfa_it872,agfa_it872,A6,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,8.84,11.93,13.48,13.11,13.02,12.92,12.8,12.86,12.87,12.68,12.09,11.22,10.37,9.62,9.61,10.81,12.4,15.02,18.57,22.12,24.71,26.03,26.39,26.28,26.11,26.09,26.46,27.42,28.95,31.29,34.41
agfa_it872__agfa_it872__0007,agfa_it872,agfa_it872,A7,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,8.8,11.9,13.32,12.75,12.63,12.42,12.14,11.93,11.61,11.06,10.16,9.12,8.32,7.72,7.77,8.91,10.36,13.05,17.29,22.32,26.87,30.46,32.9,34.41,35.53,36.42,37.37,38.84,40.88,43.51,46.68
agfa_it872__agfa_it872__0008,agfa_it872,agfa_it872,A8,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,8.77,11.6,12.76,12.08,11.92,11.6,11.16,10.8,10.3,9.63,8.66,7.7,7.1,6.63,6.71,7.76,8.93,11.47,16.01,21.98,28.4,34.87,40.53,45.14,49.25,52.8,55.8,58.67,61.49,64.21,66.91
agfa_it872__agfa_it872__0009,agfa_it872,agfa_it872,A9,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.66,25.44,36.03,38.55,39.36,39.42,39.52,39.81,40.03,40.04,39.45,38.42,37.5,36.67,36.23,37.32,39.07,41.47,44.09,45.98,46.56,45.99,44.98,44.05,43.42,43.27,43.54,44.42,46.07,48.55,51.54
agfa_it872__agfa_it872__0010,agfa_it872,agfa_it872,A10,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.79,26.51,37.64,40.1,40.78,40.71,40.75,41.01,41.2,41.13,40.48,39.33,38.26,37.28,37.02,38.65,40.81,43.9,47.4,50.17,51.5,51.46,50.76,50.03,49.6,49.59,49.96,50.89,52.61,55.05,57.94
agfa_it872__agfa_it872__0011,agfa_it872,agfa_it872,A11,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.81,26.57,37.54,39.54,39.98,39.79,39.56,39.6,39.56,39.27,38.35,36.95,35.71,34.67,34.52,36.58,39.41,43.55,48.68,53.58,57.11,59.12,60.08,60.75,61.52,62.44,63.43,64.71,66.38,68.33,70.64
agfa_it872__agfa_it872__0012,agfa_it872,agfa_it872,A12,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,12.82,25.71,35.86,37.45,37.67,37.28,36.95,36.85,36.71,36.31,35.36,33.94,32.69,31.69,31.57,33.66,36.75,41.33,47.34,53.53,58.73,62.71,65.53,67.79,70.18,72.42,74.32,76.08,77.62,78.95,80.21
agfa_it872__agfa_it872__0013,agfa_it872,agfa_it872,A13,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.36,40.97,68.28,78.52,80.59,79.68,78.62,77.37,75.81,74.37,72.8,71.96,72.92,74.39,74.69,74.87,74.47,74.44,75.13,76,76.39,76.17,75.81,75.95,76.78,78,79.22,80.49,81.68,82.82,83.89
agfa_it872__agfa_it872__0014,agfa_it872,agfa_it872,A14,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.68,42.75,71.78,82.74,84.79,83.73,82.51,81.03,79.28,77.68,75.98,75.13,76.32,78.01,78.5,78.95,78.37,78.13,78.68,79.44,79.86,79.61,79.25,79.6,80.67,82.15,83.59,84.87,85.95,86.75,87.38
agfa_it872__agfa_it872__0015,agfa_it872,agfa_it872,A15,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.7,41.21,68.06,77.78,79.44,78.46,77.52,76.61,75.55,74.76,73.87,73.71,75.31,77.31,78.15,78.66,78.14,77.83,78.3,79.04,79.42,79.15,78.82,79.08,80.19,81.69,83.02,84.3,85.41,86.26,86.79
agfa_it872__agfa_it872__0016,agfa_it872,agfa_it872,A16,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.69,41.6,68.72,78.51,80.35,79.47,78.69,77.84,76.75,75.87,74.9,74.65,76.13,77.88,78.58,79.11,78.41,77.97,78.22,78.64,78.66,78.02,77.38,77.33,78.05,79.28,80.48,81.67,82.82,83.95,84.96
agfa_it872__agfa_it872__0017,agfa_it872,agfa_it872,A17,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.7,41.58,68.66,78.36,80.05,79.08,78.2,77.26,76.19,75.35,74.42,74.22,75.79,77.69,78.49,79.13,78.67,78.46,78.97,79.77,80.21,79.95,79.63,79.92,81.01,82.51,83.88,85.2,86.23,87.06,87.69
agfa_it872__agfa_it872__0018,agfa_it872,agfa_it872,A18,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\agfa_it872\agfait872.mat,31,14.48,40.85,67.65,77.48,79.33,78.45,77.55,76.74,75.77,74.98,74.07,73.86,75.4,77.32,78,78.41,77.73,77.21,77.39,77.79,77.8,77.17,76.47,76.43,77.17,78.34,79.52,80.75,81.9,82.94,83.95
