sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__cardboardsce__0001,paper_spectra,cardboardsce,cardboardsce_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,6.07,6.11,6.12,6.1,6.1,6.1,6.07,6.06,6.06,6.03,5.99,5.96,5.91,5.79,5.74,5.67,5.6,5.54,5.5,5.52,5.57,5.61,5.65,5.73,5.87,6.05,6.14,6.2,6.28,6.37,6.4
paper_spectra__cardboardsce__0002,paper_spectra,cardboardsce,cardboardsce_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,6.06,6.06,6.04,6.05,6.06,6.06,6.02,6.02,6.01,5.99,5.95,5.92,5.86,5.75,5.69,5.65,5.59,5.51,5.45,5.49,5.52,5.56,5.61,5.7,5.85,5.99,6.08,6.17,6.23,6.29,6.33
paper_spectra__cardboardsce__0003,paper_spectra,cardboardsce,cardboardsce_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,6.04,5.9,5.72,5.54,5.37,5.18,5,4.89,4.85,4.81,4.8,4.86,4.96,4.96,5.02,5.13,5.14,5.03,4.86,4.74,4.64,4.52,4.49,4.49,4.54,4.62,4.66,4.72,4.91,5.2,5.52
paper_spectra__cardboardsce__0004,paper_spectra,cardboardsce,cardboardsce_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,5.65,5.48,5.33,5.18,5,4.82,4.68,4.6,4.56,4.54,4.54,4.62,4.68,4.7,4.74,4.81,4.8,4.72,4.61,4.49,4.38,4.32,4.3,4.29,4.38,4.47,4.5,4.57,4.74,4.97,5.24
paper_spectra__cardboardsce__0005,paper_spectra,cardboardsce,cardboardsce_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,8.28,8.02,7.68,7.35,7.04,6.74,6.46,6.27,6.2,6.17,6.22,6.34,6.5,6.56,6.57,6.63,6.54,6.33,6.02,5.76,5.55,5.37,5.25,5.25,5.34,5.46,5.52,5.67,6.02,6.52,7.22
paper_spectra__cardboardsce__0006,paper_spectra,cardboardsce,cardboardsce_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,8.36,8.07,7.73,7.42,7.07,6.77,6.52,6.33,6.24,6.21,6.26,6.41,6.54,6.6,6.65,6.68,6.59,6.34,6.06,5.81,5.56,5.39,5.3,5.27,5.35,5.46,5.56,5.73,6.06,6.53,7.25
paper_spectra__cardboardsce__0007,paper_spectra,cardboardsce,cardboardsce_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,57.19,59.99,62.66,64.29,64.94,64.6,63.27,61.28,58.75,55.99,52.85,49.62,46.15,42.83,39.89,37.37,35.12,33.22,31.41,30.23,29.48,29.29,29.32,29.22,28.95,29.12,30.06,32.95,38.22,44.8,52.67
paper_spectra__cardboardsce__0008,paper_spectra,cardboardsce,cardboardsce_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,56.38,59.37,62.2,63.97,64.62,64.19,62.76,60.64,58.01,55.14,51.92,48.66,45.14,41.74,38.88,36.41,34.18,32.31,30.57,29.45,28.76,28.59,28.7,28.64,28.37,28.56,29.51,32.39,37.65,44.2,52.02
paper_spectra__cardboardsce__0009,paper_spectra,cardboardsce,cardboardsce_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,60.31,65.1,69.02,72,74.89,77.09,78.29,79.14,79.45,79.29,78.46,76.96,74.42,71.1,66.97,61.71,55.54,50.01,45.28,41.85,39.31,37.74,37.61,38.61,39.91,40.6,39.74,38.71,39.81,43.59,48.74
paper_spectra__cardboardsce__0010,paper_spectra,cardboardsce,cardboardsce_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,60.3,65.01,68.95,71.99,75.02,77.31,78.63,79.6,79.99,79.75,78.86,77.25,74.48,71.05,66.94,61.68,55.51,50,45.33,41.91,39.35,37.79,37.65,38.63,39.96,40.65,39.78,38.72,39.85,43.68,48.8
