sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__cardboardsci__0001,paper_spectra,cardboardsci,cardboardsci_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,7.31,7.35,7.35,7.36,7.35,7.34,7.34,7.34,7.33,7.32,7.3,7.26,7.2,7.08,7.04,6.98,6.89,6.83,6.82,6.86,6.96,7.04,7.16,7.33,7.57,7.82,8.06,8.29,8.46,8.58,8.71
paper_spectra__cardboardsci__0002,paper_spectra,cardboardsci,cardboardsci_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,7.12,7.18,7.19,7.18,7.18,7.15,7.17,7.16,7.14,7.15,7.12,7.09,7.04,6.95,6.89,6.83,6.77,6.69,6.67,6.73,6.84,6.93,7.04,7.19,7.43,7.67,7.87,8.08,8.26,8.4,8.52
paper_spectra__cardboardsci__0003,paper_spectra,cardboardsci,cardboardsci_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,6.22,6.24,6.25,6.25,6.24,6.24,6.26,6.25,6.25,6.26,6.25,6.23,6.2,6.14,6.08,6.06,6.01,5.99,5.95,6.01,6.11,6.2,6.26,6.42,6.6,6.78,6.97,7.14,7.29,7.41,7.51
paper_spectra__cardboardsci__0004,paper_spectra,cardboardsci,cardboardsci_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,6.32,6.16,5.99,5.8,5.58,5.39,5.27,5.16,5.09,5.07,5.1,5.2,5.29,5.34,5.46,5.56,5.59,5.53,5.4,5.27,5.18,5.11,5.11,5.14,5.21,5.32,5.4,5.57,5.79,6.14,6.63
paper_spectra__cardboardsci__0005,paper_spectra,cardboardsci,cardboardsci_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,6.2,6.04,5.88,5.68,5.48,5.31,5.17,5.05,5,4.99,5.02,5.1,5.19,5.24,5.34,5.46,5.49,5.42,5.3,5.16,5.07,5,4.98,5,5.07,5.19,5.3,5.46,5.7,6.06,6.57
paper_spectra__cardboardsci__0006,paper_spectra,cardboardsci,cardboardsci_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,6.18,6.05,5.89,5.7,5.5,5.32,5.2,5.07,5.02,5.03,5.05,5.13,5.22,5.26,5.37,5.47,5.52,5.46,5.32,5.2,5.12,5.07,5.05,5.08,5.15,5.27,5.37,5.51,5.76,6.11,6.56
paper_spectra__cardboardsci__0007,paper_spectra,cardboardsci,cardboardsci_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,7.51,7.3,7.05,6.78,6.51,6.28,6.1,5.96,5.89,5.88,5.94,6.04,6.19,6.26,6.32,6.38,6.37,6.22,6.01,5.82,5.68,5.58,5.53,5.58,5.69,5.85,6.01,6.28,6.7,7.25,8.04
paper_spectra__cardboardsci__0008,paper_spectra,cardboardsci,cardboardsci_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,7.56,7.32,7.1,6.84,6.55,6.31,6.13,6,5.91,5.9,5.98,6.1,6.22,6.3,6.37,6.43,6.39,6.26,6.06,5.87,5.71,5.61,5.56,5.59,5.72,5.9,6.06,6.31,6.73,7.29,8.1
paper_spectra__cardboardsci__0009,paper_spectra,cardboardsci,cardboardsci_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,7.51,7.31,7.07,6.8,6.52,6.28,6.09,5.95,5.88,5.89,5.95,6.06,6.2,6.27,6.32,6.4,6.38,6.22,6.01,5.83,5.69,5.57,5.54,5.59,5.69,5.84,6.02,6.28,6.68,7.22,8.01
paper_spectra__cardboardsci__0010,paper_spectra,cardboardsci,cardboardsci_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,57.62,60.63,63.44,65.18,65.96,65.64,64.47,62.61,60.28,57.68,54.66,51.58,48.23,44.91,42.09,39.65,37.47,35.59,33.88,32.79,32.16,32.08,32.39,32.48,32.35,32.7,33.97,37.46,43.7,51.44,60.88
paper_spectra__cardboardsci__0011,paper_spectra,cardboardsci,cardboardsci_0011,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,57.18,60.18,62.96,64.74,65.51,65.16,63.99,62.14,59.79,57.18,54.18,51.11,47.78,44.45,41.61,39.18,37,35.13,33.42,32.33,31.7,31.64,31.91,31.99,31.9,32.27,33.55,37.06,43.28,51,60.43
paper_spectra__cardboardsci__0012,paper_spectra,cardboardsci,cardboardsci_0012,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,57.47,60.55,63.39,65.23,65.98,65.54,64.25,62.29,59.81,57.07,53.94,50.78,47.41,44.01,41.18,38.78,36.59,34.74,33.08,32.02,31.43,31.39,31.71,31.84,31.76,32.12,33.43,36.95,43.29,51.11,60.52
paper_spectra__cardboardsci__0013,paper_spectra,cardboardsci,cardboardsci_0013,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,61.9,66.68,70.63,73.69,76.79,79.11,80.68,81.87,82.51,82.52,81.93,80.59,78.14,74.97,71.02,65.94,59.99,54.6,50.06,46.74,44.27,42.84,42.91,44.2,45.97,47,46.45,45.72,47.43,52.04,58.31
paper_spectra__cardboardsci__0014,paper_spectra,cardboardsci,cardboardsci_0014,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,61.23,65.97,69.91,72.9,75.83,77.98,79.4,80.46,81.05,81.1,80.62,79.5,77.27,74.27,70.48,65.57,59.74,54.41,49.95,46.67,44.21,42.75,42.86,44.13,45.79,46.83,46.29,45.56,47.24,51.83,58.07
paper_spectra__cardboardsci__0015,paper_spectra,cardboardsci,cardboardsci_0015,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,61.42,66.2,70.19,73.26,76.3,78.57,80.13,81.3,81.96,81.99,81.43,80.17,77.77,74.63,70.74,65.72,59.8,54.4,49.87,46.53,44.02,42.52,42.59,43.85,45.56,46.62,46.01,45.27,46.97,51.58,57.85
paper_spectra__cardboardsci__0016,paper_spectra,cardboardsci,cardboardsci_0016,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsci.asc,31,21.68,24.98,28.12,30.26,31.63,32,31.59,30.53,28.87,26.77,24.22,21.54,18.61,15.99,13.95,12.19,10.58,9.38,8.45,7.89,7.46,7.28,7.31,7.53,7.76,7.92,7.97,8.25,9.23,11.06,13.97
