sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__newsprintsce__0001,paper_spectra,newsprintsce,newsprintsce_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,29.54,38.24,45.39,49.06,51.11,52.43,53.55,54.76,55.86,56.62,56.86,56.54,55.61,54.45,53.04,51.56,50.03,48.73,47.47,46.42,45.45,45.04,45.36,46.27,48,51,54.77,58.74,61.79,63.55,64.86
paper_spectra__newsprintsce__0002,paper_spectra,newsprintsce,newsprintsce_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,29.25,38.17,45.72,49.83,52.21,53.77,55.19,56.79,58.32,59.38,59.75,59.45,58.28,56.74,55.01,53.22,51.4,49.93,48.51,47.37,46.27,45.8,46.19,47.25,49.29,52.9,57.71,63.42,68.7,72.58,75.86
paper_spectra__newsprintsce__0003,paper_spectra,newsprintsce,newsprintsce_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,28.45,37.03,44.06,47.68,49.68,50.95,52.1,53.33,54.46,55.19,55.35,54.98,53.91,52.6,51.1,49.53,47.88,46.49,45.17,44.08,43.03,42.6,42.89,43.8,45.64,48.84,52.92,57.26,60.56,62.4,63.77
paper_spectra__newsprintsce__0004,paper_spectra,newsprintsce,newsprintsce_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,27.76,36.49,43.87,47.9,50.25,51.87,53.36,55.02,56.55,57.6,57.91,57.48,56.12,54.35,52.39,50.39,48.39,46.77,45.25,44.03,42.83,42.34,42.7,43.77,45.92,49.84,55.15,61.51,67.41,71.66,75.2
paper_spectra__newsprintsce__0005,paper_spectra,newsprintsce,newsprintsce_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,28.43,37.39,44.86,48.86,51.12,52.33,53.14,53.93,54.62,55.09,54.89,53.67,51.83,50.61,48.66,45.18,43.64,48.45,58.4,67.18,69.94,69.63,69.3,69.34,69.37,69.19,68.88,68.61,68.29,68.25,68.23
paper_spectra__newsprintsce__0006,paper_spectra,newsprintsce,newsprintsce_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,28.86,38.12,45.99,50.41,52.97,54.43,55.45,56.42,57.3,57.92,57.68,56.15,53.91,52.38,50.14,46.29,44.67,50.12,61.98,73.87,79.32,80.43,81.02,82.03,83.05,83.7,84.09,84.38,84.43,84.69,84.95
paper_spectra__newsprintsce__0007,paper_spectra,newsprintsce,newsprintsce_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,29.3,38.28,45.7,49.56,51.69,52.9,53.64,54.35,54.98,55.44,55.26,54.07,52.33,51.15,49.32,45.99,44.54,49.2,58.64,66.79,69.26,68.84,68.44,68.43,68.41,68.2,67.91,67.63,67.24,67.21,67.17
paper_spectra__newsprintsce__0008,paper_spectra,newsprintsce,newsprintsce_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,29.38,38.6,46.43,50.83,53.41,54.9,55.87,56.81,57.69,58.3,58.07,56.58,54.45,52.93,50.73,47.01,45.46,50.85,62.58,74.31,79.62,80.64,81.2,82.21,83.14,83.8,84.18,84.43,84.51,84.75,84.98
paper_spectra__newsprintsce__0009,paper_spectra,newsprintsce,newsprintsce_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,26.65,32.87,36.66,37.33,37.01,36.55,36.51,37.33,38.91,40.97,43.28,45.51,47.58,49.3,50.17,49.84,49.96,53.07,58.51,62.73,64.09,64.54,65.19,65.76,66.16,66.47,66.64,66.73,66.57,66.56,66.54
paper_spectra__newsprintsce__0010,paper_spectra,newsprintsce,newsprintsce_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsce.asc,31,26.68,32.95,36.79,37.48,37.14,36.69,36.68,37.51,39.2,41.37,43.81,46.23,48.56,50.58,51.64,51.3,51.44,55.32,62.43,68.68,71.42,72.77,74.43,76.13,77.63,78.9,79.96,80.8,81.15,81.43,81.6
