sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__newsprintsci__0001,paper_spectra,newsprintsci,newsprintsci_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.54,39.62,47.56,52.14,54.97,56.82,58.64,60.6,62.51,63.83,64.41,64.24,63.16,61.64,59.82,57.97,56.18,54.73,53.44,52.36,51.38,51.11,51.81,53.3,56.11,61,67.47,74.73,81.09,85.22,88.51
paper_spectra__newsprintsci__0002,paper_spectra,newsprintsci,newsprintsci_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.18,38.68,45.83,49.68,51.89,53.25,54.57,55.96,57.27,58.17,58.53,58.41,57.65,56.55,55.26,53.92,52.56,51.42,50.43,49.56,48.82,48.66,49.26,50.55,52.86,56.73,61.69,67.02,71.51,74.35,76.64
paper_spectra__newsprintsci__0003,paper_spectra,newsprintsci,newsprintsci_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.32,39.06,46.48,50.65,53.14,54.75,56.34,58.06,59.72,60.91,61.42,61.3,60.36,58.92,57.29,55.64,54.03,52.72,51.56,50.61,49.78,49.53,50.17,51.6,54.22,58.76,64.86,72.11,78.98,84.07,88.54
paper_spectra__newsprintsci__0004,paper_spectra,newsprintsci,newsprintsci_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.92,41,48.79,53.2,55.86,57.59,59.31,61.21,63.11,64.43,65.05,64.97,64.04,62.72,61.11,59.43,57.82,56.54,55.4,54.42,53.55,53.32,54.03,55.48,58.12,62.65,68.65,75.48,81.46,85.44,88.7
paper_spectra__newsprintsci__0005,paper_spectra,newsprintsci,newsprintsci_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.89,40.51,47.61,51.34,53.43,54.69,55.93,57.26,58.59,59.51,59.95,59.96,59.37,58.5,57.41,56.23,55.06,54.05,53.17,52.39,51.73,51.58,52.22,53.46,55.7,59.3,63.79,68.54,72.44,74.92,76.94
paper_spectra__newsprintsci__0006,paper_spectra,newsprintsci,newsprintsci_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,32.07,40.81,48.12,52.18,54.58,56.08,57.62,59.32,60.98,62.19,62.76,62.76,61.95,60.72,59.3,57.81,56.33,55.16,54.13,53.26,52.49,52.29,52.97,54.34,56.84,61.13,66.78,73.43,79.89,84.83,89.14
paper_spectra__newsprintsci__0007,paper_spectra,newsprintsci,newsprintsci_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.68,41.18,49.48,54.3,57.24,58.94,60.28,61.52,62.65,63.53,63.5,62.01,59.87,58.52,56.31,52.24,50.73,57.19,70.86,84.06,89.65,90.37,90.5,91.09,91.77,92.23,92.59,92.92,93.32,93.92,94.59
paper_spectra__newsprintsci__0008,paper_spectra,newsprintsci,newsprintsci_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.92,40.79,48.14,52.04,54.24,55.41,56.31,57.12,57.89,58.46,58.44,57.48,55.98,55.02,53.38,50.27,49.15,54.27,64.29,72.77,75.61,75.59,75.53,75.85,76.31,76.63,76.9,77.22,77.67,78.18,78.76
paper_spectra__newsprintsci__0009,paper_spectra,newsprintsci,newsprintsci_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.65,40.86,48.71,53.16,55.8,57.27,58.45,59.55,60.58,61.36,61.34,60.08,58.19,56.9,54.91,51.32,50.06,56.04,68.59,81.02,86.97,88.53,89.55,91,92.57,93.92,95.1,96.16,97.19,98.23,99.31
paper_spectra__newsprintsci__0010,paper_spectra,newsprintsci,newsprintsci_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.22,40.72,49.04,53.9,56.87,58.6,59.96,61.24,62.43,63.3,63.27,61.75,59.51,58.09,55.81,51.62,49.98,56.5,70.42,83.88,89.54,90.23,90.31,90.85,91.54,92,92.34,92.64,93.02,93.62,94.27
paper_spectra__newsprintsci__0011,paper_spectra,newsprintsci,newsprintsci_0011,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.21,40.17,47.6,51.61,53.87,55.08,56.06,56.94,57.74,58.36,58.33,57.32,55.79,54.76,53.02,49.74,48.55,53.84,64.29,73.26,76.32,76.35,76.37,76.73,77.2,77.54,77.84,78.2,78.6,79.16,79.74
paper_spectra__newsprintsci__0012,paper_spectra,newsprintsci,newsprintsci_0012,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,31.48,40.66,48.48,52.92,55.59,57.07,58.23,59.35,60.43,61.19,61.17,59.88,57.91,56.63,54.62,50.92,49.55,55.51,68.23,80.81,86.87,88.49,89.49,90.96,92.55,93.89,95.08,96.12,97.08,98.12,99.25
paper_spectra__newsprintsci__0013,paper_spectra,newsprintsci,newsprintsci_0013,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,29.86,36.27,40.38,41.32,41.15,40.76,40.95,41.88,43.65,45.98,48.71,51.38,53.99,56.41,57.71,57.39,57.81,62.44,70.66,77.59,80.57,81.96,83.44,84.83,86.16,87.32,88.34,89.18,89.83,90.41,90.94
paper_spectra__newsprintsci__0014,paper_spectra,newsprintsci,newsprintsci_0014,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.11,36.4,40.33,41.17,41,40.63,40.78,41.65,43.27,45.35,47.7,49.94,52.07,53.93,54.89,54.7,55.11,58.51,64.16,68.56,70.26,71.01,71.95,72.83,73.66,74.42,75.13,75.84,76.4,76.91,77.44
paper_spectra__newsprintsci__0015,paper_spectra,newsprintsci,newsprintsci_0015,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,30.11,36.42,40.41,41.3,41.09,40.69,40.86,41.77,43.44,45.63,48.16,50.66,53.09,55.24,56.46,56.24,56.61,60.84,68.46,75.13,78.33,80.17,82.24,84.32,86.33,88.28,90.13,91.6,92.82,93.84,94.78
