sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__papersce__0001,paper_spectra,papersce,papersce_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,66.01,67.49,68.7,69.57,70.22,70.74,71.07,71.4,71.64,71.79,71.71,71.53,71.29,70.93,70.43,69.87,69.19,68.46,67.75,67.1,66.28,65.35,64.61,64.38,64.52,64.78,64.82,64.74,64.68,65.16,66.08
paper_spectra__papersce__0002,paper_spectra,papersce,papersce_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,68.24,70.62,72.71,74.25,75.54,76.69,77.57,78.37,79.02,79.43,79.44,79.22,78.79,78.15,77.32,76.31,75.06,73.85,72.71,71.69,70.47,69.04,68.04,67.74,67.96,68.43,68.53,68.43,68.4,69.16,70.62
paper_spectra__papersce__0003,paper_spectra,papersce,papersce_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,65.28,66.73,67.88,68.69,69.33,69.89,70.23,70.58,70.86,71.02,70.97,70.82,70.6,70.23,69.78,69.24,68.6,67.94,67.27,66.66,65.94,65.1,64.41,64.15,64.31,64.61,64.63,64.52,64.55,65.08,65.88
paper_spectra__papersce__0004,paper_spectra,papersce,papersce_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,68.75,70.89,72.77,74.23,75.44,76.51,77.33,78.16,78.78,79.18,79.22,79.01,78.64,78.07,77.25,76.27,75.08,73.95,72.85,71.87,70.7,69.35,68.36,68.1,68.34,68.76,68.88,68.87,68.91,69.63,71.05
paper_spectra__papersce__0005,paper_spectra,papersce,papersce_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,61.19,62.77,63.94,64.61,65.09,65.53,65.82,66.09,66.26,66.05,65.3,64.26,62.94,61.45,59.73,57.86,55.77,53.82,52.12,50.75,49.25,47.63,46.5,46.34,46.86,47.6,47.85,47.8,47.96,48.9,50.82
paper_spectra__papersce__0006,paper_spectra,papersce,papersce_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,63.29,65.3,66.87,67.81,68.54,69.12,69.57,70.08,70.35,70.1,69.05,67.65,65.97,64.02,61.95,59.7,57.24,55.07,53.17,51.65,50.01,48.25,47.03,46.82,47.37,48.17,48.48,48.38,48.48,49.47,51.53
paper_spectra__papersce__0007,paper_spectra,papersce,papersce_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,61.52,63.02,64.19,64.77,64.59,63.57,61.68,59.34,56.63,53.83,50.84,48.16,45.68,43.43,41.79,40.93,40.73,40.97,41.59,43.01,45.14,48.69,53.79,59.65,65.2,69.34,71.65,72.76,73.2,73.57,73.8
paper_spectra__papersce__0008,paper_spectra,papersce,papersce_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,62.87,64.64,66.12,66.92,66.77,65.5,63.26,60.53,57.41,54.3,51.1,48.34,45.74,43.41,41.81,40.97,40.69,40.95,41.58,43.11,45.28,48.99,54.52,61.4,68.81,75.47,80.24,83.3,84.99,86.2,87.26
paper_spectra__papersce__0009,paper_spectra,papersce,papersce_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,65.39,67.02,68.4,69.32,69.87,69.96,69.49,68.67,67.55,66.19,64.43,62.66,60.75,58.87,57.35,56.26,55.54,55.35,55.54,56.41,58,60.61,64.02,67.56,70.51,72.51,73.42,73.77,73.87,74.17,74.39
paper_spectra__papersce__0010,paper_spectra,papersce,papersce_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,67.2,69.48,71.42,72.88,73.86,74.15,73.56,72.41,70.84,68.99,66.74,64.55,62.27,60.06,58.34,57.18,56.42,56.15,56.39,57.46,59.27,62.35,66.78,71.95,77.12,81.41,84.06,85.48,86.33,87.32,88.22
paper_spectra__papersce__0011,paper_spectra,papersce,papersce_0011,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,55.63,58.93,61.34,62.52,63.49,64.33,65.01,65.51,65.74,65.7,65.35,64.76,63.82,62.66,61.17,59.31,57.11,54.75,52.18,49.68,47.33,45.82,45.62,46.26,47.14,47.45,46.06,44.53,45.83,49.98,54.29
paper_spectra__papersce__0012,paper_spectra,papersce,papersce_0012,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,57.19,61.24,64.41,66.21,67.73,69.18,70.5,71.61,72.29,72.43,72.04,71.27,69.91,68.14,65.99,63.42,60.4,57.42,54.33,51.38,48.7,46.96,46.79,47.56,48.58,48.94,47.36,45.58,47.09,52.09,57.65
paper_spectra__papersce__0013,paper_spectra,papersce,papersce_0013,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,56,59.3,61.63,62.67,63.42,64.07,64.54,64.94,65.12,65.02,64.63,64.1,63.31,62.19,60.82,59.22,57.31,55.28,53.05,50.92,48.88,47.53,47.31,47.86,48.54,48.64,47.19,45.73,47,50.79,54.66
paper_spectra__papersce__0014,paper_spectra,papersce,papersce_0014,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,56.84,60.85,64.02,65.83,67.36,68.79,70.11,71.22,71.91,72.07,71.66,70.89,69.58,67.78,65.66,63.04,60.07,57.09,53.99,51.09,48.41,46.69,46.5,47.29,48.33,48.69,47.11,45.33,46.88,51.86,57.32
paper_spectra__papersce__0015,paper_spectra,papersce,papersce_0015,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,57.47,59.74,61.56,62.69,63.45,63.75,63.5,62.82,61.77,60.51,58.9,57.41,56.02,54.64,53.5,52.86,52.48,52.26,52.25,52.85,53.56,54.22,55.17,56.83,59.3,62.09,64.55,66.77,68.55,69.9,70.98
paper_spectra__papersce__0016,paper_spectra,papersce,papersce_0016,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersce.asc,31,57.94,60.49,62.62,64.04,65,65.44,65.18,64.38,63.16,61.67,59.82,58.18,56.65,55.13,53.94,53.29,52.88,52.63,52.66,53.34,54.1,54.8,55.88,57.81,60.68,64.1,67.37,70.66,73.65,76.14,78.37
