sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__papersci__0001,paper_spectra,papersci,papersci_0001,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,70.66,73.56,76.06,77.81,79.25,80.36,81.34,82.27,83.09,83.58,83.81,83.85,83.66,83.36,82.84,82.1,81.14,80.2,79.39,78.62,77.6,76.45,75.72,75.76,76.47,77.41,78.07,78.61,79.38,80.65,82.84
paper_spectra__papersci__0002,paper_spectra,papersci,papersci_0002,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,65.8,67.54,68.95,69.88,70.58,71.11,71.61,72.11,72.56,72.86,73.09,73.25,73.29,73.17,73.03,72.82,72.48,72.06,71.76,71.47,71.01,70.43,70.13,70.28,70.87,71.65,72.29,72.83,73.5,74.55,76.14
paper_spectra__papersci__0003,paper_spectra,papersci,papersci_0003,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,67.54,70.22,72.53,74.2,75.64,76.81,77.87,78.88,79.82,80.47,80.79,80.93,80.85,80.59,80.12,79.46,78.56,77.7,76.98,76.32,75.43,74.39,73.77,73.86,74.64,75.64,76.4,77.01,77.83,79.19,81.53
paper_spectra__papersci__0004,paper_spectra,papersci,papersci_0004,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,71.05,73.86,76.26,77.94,79.34,80.44,81.42,82.33,83.13,83.63,83.86,83.93,83.75,83.5,83.01,82.28,81.38,80.51,79.74,79.02,78.09,77.04,76.41,76.44,77.13,78.06,78.75,79.35,80.19,81.55,83.67
paper_spectra__papersci__0005,paper_spectra,papersci,papersci_0005,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,66.05,67.81,69.21,70.13,70.87,71.43,71.96,72.47,72.95,73.29,73.52,73.69,73.75,73.69,73.54,73.28,72.95,72.6,72.31,72.02,71.58,71.08,70.82,70.96,71.56,72.38,72.99,73.57,74.34,75.45,77.05
paper_spectra__papersci__0006,paper_spectra,papersci,papersci_0006,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,68.61,71.11,73.28,74.91,76.29,77.4,78.45,79.47,80.39,81.01,81.37,81.55,81.47,81.23,80.74,80.07,79.19,78.37,77.66,77,76.13,75.12,74.54,74.65,75.43,76.46,77.2,77.84,78.71,80.11,82.46
paper_spectra__papersci__0007,paper_spectra,papersci,papersci_0007,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,64.68,67.12,69.07,70.28,71.18,71.87,72.57,73.31,73.82,73.71,72.85,71.57,69.9,68.04,66.04,63.77,61.27,59.1,57.32,55.93,54.41,52.76,51.76,51.85,52.84,54.1,54.9,55.35,56.12,57.73,60.67
paper_spectra__papersci__0008,paper_spectra,papersci,papersci_0008,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,61.46,63.25,64.62,65.44,66.01,66.4,66.84,67.33,67.69,67.64,67.12,66.36,65.31,63.97,62.51,60.83,58.88,57.11,55.62,54.43,53.12,51.67,50.77,50.85,51.79,52.95,53.69,54.13,54.85,56.34,59.01
paper_spectra__papersci__0009,paper_spectra,papersci,papersci_0009,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,63.01,65.17,66.96,68.05,68.84,69.46,70.14,70.81,71.34,71.27,70.52,69.39,67.85,66.2,64.39,62.34,60.07,58.03,56.37,55.06,53.6,51.97,51.01,51.09,52.03,53.26,54.03,54.46,55.12,56.61,59.45
paper_spectra__papersci__0010,paper_spectra,papersci,papersci_0010,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,64.64,67.03,68.94,69.96,70.03,68.75,66.52,63.71,60.62,57.46,54.24,51.49,48.94,46.65,45.13,44.41,44.28,44.71,45.63,47.45,50,54.24,60.63,68.64,77.15,84.42,89.3,92.25,94.09,95.45,96.71
paper_spectra__papersci__0011,paper_spectra,papersci,papersci_0011,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,60.91,62.5,63.74,64.37,64.31,63.37,61.76,59.68,57.28,54.68,51.92,49.49,47.19,45.06,43.62,42.94,42.89,43.32,44.22,45.94,48.43,52.37,57.99,64.37,70.51,75.3,78.3,80.16,81.44,82.44,83.42
paper_spectra__papersci__0012,paper_spectra,papersci,papersci_0012,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,62.43,64.5,66.15,67.05,67.03,65.8,63.71,61.11,58.21,55.21,52.14,49.52,47.08,44.83,43.37,42.72,42.61,43.04,43.99,45.85,48.43,52.61,58.88,66.74,75.31,83.27,89.33,93.58,96.57,98.73,100.86
paper_spectra__papersci__0013,paper_spectra,papersci,papersci_0013,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,69.17,71.98,74.4,76.14,77.34,77.66,77.29,76.32,74.86,73.03,70.87,68.72,66.42,64.22,62.6,61.5,60.9,60.87,61.44,62.87,65.17,68.89,74.1,79.9,85.31,89.4,91.9,93.42,94.62,95.77,96.95
